"","Otu0001","Otu0002","Otu0003","Otu0004","Otu0005","Otu0006","Otu0007","Otu0008","Otu0009","Otu0010","Otu0011","Otu0012","Otu0013","Otu0014","Otu0015","Otu0016","Otu0017","Otu0018","Otu0019","Otu0020","Otu0021","Otu0022","Otu0023","Otu0024","Otu0025","Otu0026","Otu0027","Otu0028","Otu0029","Otu0030","Otu0031","Otu0032","Otu0033","Otu0034","Otu0035","Otu0036","Otu0037","Otu0038","Otu0039","Otu0040","Otu0041","Otu0042","Otu0043","Otu0044","Otu0045","Otu0046","Otu0047","Otu0048","Otu0049","Otu0050","Otu0051","Otu0052","Otu0053","Otu0054","Otu0055","Otu0056","Otu0057","Otu0058","Otu0059","Otu0060","Otu0061","Otu0062","Otu0063","Otu0064","Otu0065","Otu0066","Otu0067","Otu0068","Otu0069","Otu0070","Otu0071","Otu0072","Otu0073","Otu0074","Otu0075","Otu0076","Otu0077","Otu0078","Otu0079","Otu0080","Otu0081","Otu0082","Otu0083","Otu0084","Otu0085","Otu0086","Otu0087","Otu0088","Otu0089","Otu0090","Otu0091","Otu0092","Otu0093","Otu0094","Otu0095","Otu0096","Otu0097","Otu0098","Otu0099","Otu0100","Otu0101","Otu0102","Otu0103","Otu0104","Otu0105","Otu0106","Otu0107","Otu0108","Otu0109","Otu0110","Otu0111","Otu0112","Otu0113","Otu0114","Otu0115","Otu0116","Otu0117","Otu0118","Otu0119","Otu0120","Otu0121","Otu0122","Otu0123","Otu0124","Otu0125","Otu0126","Otu0127","Otu0128","Otu0129","Otu0130","Otu0131","Otu0132","Otu0133","Otu0134","Otu0135","Otu0136","Otu0137","Otu0138","Otu0139","Otu0140","Otu0141","Otu0142","Otu0143","Otu0144","Otu0145","Otu0146","Otu0147","Otu0148","Otu0149","Otu0150","Otu0151","Otu0152","Otu0153","Otu0154","Otu0155","Otu0156","Otu0157","Otu0158","Otu0159","Otu0160","Otu0161","Otu0162","Otu0163","Otu0164","Otu0165","Otu0166","Otu0167","Otu0168","Otu0169","Otu0170","Otu0171","Otu0172","Otu0173","Otu0174","Otu0175","Otu0176","Otu0177","Otu0178","Otu0179","Otu0180","Otu0181","Otu0182","Otu0183","Otu0184","Otu0185","Otu0186","Otu0187","Otu0188","Otu0189","Otu0190","Otu0191","Otu0192","Otu0193","Otu0194","Otu0195","Otu0196","Otu0197","Otu0198","Otu0199","Otu0200","Otu0201","Otu0202","Otu0203","Otu0204","Otu0205","Otu0206","Otu0207","Otu0208","Otu0209","Otu0210","Otu0211","Otu0212","Otu0213","Otu0214","Otu0215","Otu0216","Otu0217","Otu0218","Otu0219","Otu0220","Otu0221","Otu0222","Otu0223","Otu0224","Otu0225","Otu0226","Otu0227","Otu0228","Otu0229","Otu0230","Otu0231","Otu0232","Otu0233","Otu0234","Otu0235","Otu0236","Otu0237","Otu0238","Otu0239","Otu0240","Otu0241","Otu0242","Otu0243","Otu0244","Otu0245","Otu0246","Otu0247","Otu0248","Otu0249","Otu0250","Otu0251","Otu0252","Otu0253","Otu0254","Otu0255","Otu0256","Otu0257","Otu0258","Otu0259","Otu0260","Otu0261","Otu0262","Otu0263","Otu0264","Otu0265","Otu0266","Otu0267","Otu0268","Otu0269","Otu0270","Otu0271","Otu0272","Otu0273","Otu0274","Otu0275","Otu0276","Otu0277","Otu0278","Otu0279","Otu0280","Otu0281","Otu0282","Otu0283","Otu0284","Otu0285","Otu0286","Otu0287","Otu0288","Otu0289","Otu0290","Otu0291","Otu0292","Otu0293","Otu0294","Otu0295","Otu0296","Otu0297","Otu0298","Otu0299","Otu0300","Otu0301","Otu0302","Otu0303","Otu0304","Otu0305","Otu0306","Otu0307","Otu0308","Otu0309","Otu0310","Otu0311","Otu0312","Otu0313","Otu0314","Otu0315","Otu0316","Otu0317","Otu0318","Otu0319","Otu0320","Otu0321","Otu0322","Otu0323","Otu0324","Otu0325","Otu0326","Otu0327","Otu0328","Otu0329","Otu0330","Otu0331","Otu0332","Otu0333","Otu0334","Otu0335","Otu0336","Otu0337","Otu0338","Otu0339","Otu0340","Otu0341","Otu0342","Otu0343","Otu0344","Otu0345","Otu0346","Otu0347","Otu0348","Otu0349","Otu0350","Otu0351","Otu0352","Otu0353","Otu0354","Otu0355","Otu0356","Otu0357","Otu0358","Otu0359","Otu0360","Otu0361","Otu0362","Otu0363","Otu0364","Otu0365","Otu0366","Otu0367","Otu0368","Otu0369","Otu0370","Otu0371","Otu0372","Otu0373","Otu0374","Otu0375","Otu0376","Otu0377","Otu0378","Otu0379","Otu0380","Otu0381","Otu0382","Otu0383","Otu0384","Otu0385","Otu0386","Otu0387","Otu0388","Otu0389","Otu0390","Otu0391","Otu0392","Otu0393"
"FD001",2436,663,124,341,959,1841,1126,0,0,0,236,0,233,284,0,0,35,0,0,133,0,39,0,0,5,1,25,0,0,0,0,0,53,0,0,0,79,366,0,100,0,0,0,0,1,0,0,0,0,96,0,0,0,0,0,0,0,0,0,13,31,1,1,0,0,0,0,0,384,1,0,2,0,0,0,0,0,9,0,0,0,0,0,22,0,1,0,0,0,0,0,0,16,1,0,0,0,20,0,0,0,38,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"FD002",2031,1102,182,793,222,216,34,0,332,0,628,881,256,189,0,400,60,173,119,57,0,37,0,0,0,19,27,0,0,305,7,0,5,0,4,0,6,0,9,34,10,12,0,502,9,106,47,89,112,20,37,0,0,1,0,0,12,0,1,0,18,2,0,0,0,0,0,0,201,0,0,1,9,0,0,0,8,6,10,8,11,24,0,2,0,0,0,0,0,11,4,0,7,0,0,9,0,0,0,0,0,85,0,0,2,0,0,0,12,2,0,0,24,10,0,0,2,0,0,0,0,33,2,0,0,11,0,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,12,4,0,19,0,0,1,0,0,0,2,0,6,29,0,6,46,0,0,0,3,0,1,0,33,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"FD004",630,148,147,563,197,191,57,3,377,34,0,107,30,156,59,0,0,241,194,95,12,22,209,0,5,44,1,21,3892,10,88,122,2,249,27,0,3,0,0,106,20,34,22,0,22,0,130,207,0,19,87,0,0,2,0,0,1,1,6,3,29,11,0,0,0,18,0,0,0,0,0,1,0,0,0,17,0,5,43,16,14,56,0,12,25,0,8,0,0,12,20,0,0,0,126,4,0,1,25,11,208,0,0,0,0,6,0,0,83,2,0,0,3,18,0,5,0,0,0,0,0,78,1,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,45,0,0,2,0,0,15,0,1,0,2,0,10,54,0,12,0,0,52,0,0,0,2,0,0,0,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,24,0,0,0,0,3,6,1,0,15,0,5,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FD005",0,2181,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,336,0,0,0,848,0,0,0,0,271,0,0,1112,5,0,0,645,147,0,1366,1,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,199,0,0,164,0,127,0,0,1,77,0,23,0,0,0,337,446,0,0,0,224,0,0,0,0,0,0,280,0,0,34,0,0,0,0,0,19,0,10,0,0,0,0,0,0,0,0,0,122,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,9,0,0,0,0,0,24,0,0,0,0,0,1,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FD006",719,513,278,454,206,109,465,1,746,378,1,315,0,240,528,0,260,183,343,357,0,179,139,0,5,73,2,378,0,49,169,57,0,42,10,0,7,0,0,19,6,87,62,0,58,0,0,62,0,9,3,0,27,21,277,0,2,0,12,13,55,23,774,0,0,37,0,1,0,0,74,4,0,0,0,0,0,4,5,3,10,0,0,0,13,0,0,0,0,106,3,0,0,0,2,37,2,0,5,20,0,11,0,0,26,17,6,0,7,1,11,23,16,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,0,0,36,0,0,9,0,0,8,0,0,0,6,0,33,4,9,21,0,0,0,0,0,0,0,27,2,0,0,0,0,25,0,0,0,0,2,6,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,3,5,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,8,0,4,0,0,0,0,0,2,47,0,0,0,0,0,0,0,24,0,0,0,0,0,0,133,0,19,0,0,0,0,0,0,0,0,6,7,0,0,0,0,12,0,0,15,0,0,34,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,1,0,0,0,0,0,15,0,0,0,6,0,2,0,0,0,0,5,0,0,14,0,0,0,2,0,0,5,1,0,0,0,0,0,2,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"FD007",277,702,268,0,591,1543,686,0,0,0,0,0,146,0,0,876,0,0,0,352,3,885,0,0,111,0,25,0,0,378,0,0,411,0,0,0,108,15,0,24,0,7,0,0,0,97,0,0,7,221,0,0,457,10,0,0,113,0,0,50,127,22,0,0,0,0,0,10,0,0,0,18,2,0,0,0,149,0,0,0,0,4,0,15,0,0,0,0,0,110,0,0,108,2,2,39,0,25,0,0,0,65,0,0,1,0,14,0,0,0,0,0,11,0,0,0,0,0,41,0,0,0,37,0,22,92,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,11,0,28,7,0,0,0,11,0,0,0,0,0,0,0,92,0,0,0,2,0,0,0,12,0,0,4,0,0,7,0,0,1,0,0,1,0,28,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,1,0,0,0,0,0,0
"FD009",814,468,749,1124,747,516,0,0,85,106,0,140,25,0,85,285,72,274,453,176,33,233,123,0,0,116,0,48,0,20,54,95,11,0,131,0,0,0,0,9,161,82,62,0,1,40,118,51,1,24,19,90,0,1,0,0,1,0,35,2,11,7,92,0,0,0,95,0,0,920,0,1,5,0,17,9,0,38,38,108,0,88,0,0,0,0,1,0,18,14,21,0,3,0,0,11,0,0,15,6,0,0,0,0,0,0,0,0,81,0,1,11,9,21,0,19,0,0,1,0,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,1,0,0,0,0,12,0,0,0,9,0,6,0,9,76,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,9,0,0,0,0,3,4,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,11,0,0,0,9,8,0,0,1,0,0,0,0,0,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,1,0,4,0,0,4,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"FD011",1296,381,471,22,681,692,0,1728,0,0,0,0,0,0,519,836,370,291,0,0,43,40,0,0,0,58,0,0,0,1,0,0,288,0,0,0,28,0,0,28,0,0,0,0,0,92,0,0,1,200,131,0,110,21,0,0,81,1,9,27,27,83,0,0,0,61,0,0,0,0,0,13,0,0,0,0,60,0,0,0,0,0,491,3,0,0,0,0,0,0,0,0,6,0,0,20,0,35,0,1,0,16,0,0,0,0,54,0,0,0,0,0,5,0,0,0,88,0,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,5,0,30,0,14,0,121,0,0,0,0,0,8,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,31,0,20,0,0,0,1,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"FD012",613,231,432,487,31,45,655,150,579,157,0,356,77,95,315,234,197,351,129,100,0,369,70,0,0,80,22,150,1,12,64,132,0,0,26,0,0,0,0,23,134,6,40,0,9,0,51,135,14,4,0,0,0,0,0,0,9,283,26,6,3,0,0,0,0,41,13,0,0,0,0,0,0,0,23,0,0,35,81,0,0,24,0,0,20,1,0,7,1,15,6,38,1,0,3,16,124,0,50,29,0,0,0,0,0,3,0,96,3,77,25,5,8,10,17,61,0,201,14,0,0,0,17,167,10,1,0,0,0,2,96,0,41,0,0,0,0,0,23,0,0,8,0,3,0,5,0,0,5,0,0,0,16,0,4,10,2,51,0,121,37,0,2,0,1,0,0,0,1,0,3,16,0,18,0,2,8,0,0,0,0,0,0,0,0,0,63,0,44,0,32,0,0,27,0,0,0,70,41,0,0,3,0,0,0,0,3,21,0,0,0,63,0,0,0,0,0,1,0,1,1,12,0,0,0,0,0,1,0,0,4,32,0,0,0,283,1,2,0,5,0,0,0,0,0,0,18,1,0,34,0,0,29,1,18,1,0,0,36,0,0,0,1,0,5,0,0,6,0,0,5,3,0,0,0,0,0,0,5,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,25,0,2,1,0,0,0,0,0,0,31,3,21,1,1,0,1,1,0,0,2,0,0,5,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,22,0,0,0,4,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FD015",1834,72,1292,826,0,309,11,146,29,0,488,270,67,0,59,1,782,47,58,90,0,203,236,0,0,38,0,0,1,0,0,110,0,6,0,487,6,0,0,67,122,1,0,0,51,0,0,123,0,6,176,0,1,11,0,0,11,0,23,48,45,11,0,0,0,14,0,0,0,0,0,7,0,0,0,2,29,18,0,23,88,16,0,11,23,0,0,21,0,17,63,0,1,0,0,0,0,11,75,0,150,93,0,0,0,0,6,0,0,85,23,5,0,0,1,0,0,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,20,0,0,53,0,0,0,0,0,0,0,3,0,0,10,0,0,109,16,0,12,0,0,0,0,0,35,86,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,59,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,1,3,0,0,0,18,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,1,0,2,0,0,0,2,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,1,0,0,0,5,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
