Sample ID,186.M.C.3,187.M.C.3,188.C.C.3,189.C.C.3,190.C.C.3,191.M.C.3,192.M.C.3,193.C.C.3,194.C.C.3,197.C.C.3,198.M.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,257.C.C.3,23.C.S.3,25.C.S.3,26.C.S.3,59.C.S.3,60.C.S.3,35.C.S.3,36.C.S.3,38.C.S.3,30.C.S.4,31.C.S.4,74.C.S.3,76.C.S.3,68.C.S.3,69.C.S.3,70.C.S.3,45.C.S.3,46.C.S.3,48.C.S.3,53.C.S.3,57.C.S.3,62.C.S.3,63.C.S.3,64.C.S.3,72.C.S.3,73.C.S.3,51.C.S.3,50.C.S.3,42.C.S.3,40.C.S.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.062745098,0.032432432,0.09,0.210810811,0.195,0.056818182,0.036111111,0.048979592,0.034782609,0.052173913,0.070588235,0.081578947,0.08,0.129411765,0.069047619,0.133333333,0.068571429,0.032857143,0.071666667,0.055128205,0.048333333,0.109302326,0.026388889,0.038,0.015189873,0.0375,0.149152542,0.041753653,0.093247588,0.058441558,0.030252101,0.019823789,0.101156069,0.046457607,0.078561917,0.047619048,0.096446701,0.085561497,0.019271949,0.064705882,0.089201878,0.233480176,0.082969432,0.115973742,0.16744186,0.101648352,0.158823529,0.074074074,0.025641026,0.065368567,0.095238095,0.033210332,0.140151515,0.021186441,0.064301552,0.088095238,0.038408779,0.031623932,0.065719361,0.034450652,0.051698671,0.033923304,0.033967391,0.051869723,0.038851351,0.011753183,0.023448276,0.045101089,0.036827195,0.038043478,0.034313725,0.017177914,0.02800659,0.036885246
4-Hydroxyphenylacetate,0.131372549,0.27027027,0.2625,0.2,0.185,0.427272727,0.286111111,0.273469388,0.149275362,0.223913043,0.302941176,0.147368421,0.5025,0.317647059,0.20952381,0.488888889,0.214285714,0.107142857,0.125,0.203846154,0.265,0.11627907,0.097222222,0.14,0.156962025,0.276785714,0.262711864,0.409185804,0.485530547,0.467532468,0.2,0.131057269,0.592485549,0.177700348,0.131824234,0.392857143,0.192893401,0.379679144,0.411134904,0.447058824,0.460093897,0.550660793,0.31441048,0.266958425,3.023255814,0.442307692,0.911764706,0.390572391,0.171945701,0.121001391,0.459183673,0.328413284,0.443181818,0.142655367,0.203991131,0.178571429,0.124828532,0.072649573,0.129662522,0.10707635,0.205317578,0.156342183,0.171195652,0.115802171,0.195945946,0.083251714,0.110344828,0.138413686,0.123229462,0.190217391,0.223039216,0.176687117,0.207578254,0.168032787
5-Aminopentanoate,0.362745098,0.340540541,1.17,2.427027027,0.5025,1.309090909,1.413888889,3.257142857,0.47826087,0.636956522,2.464705882,0.534210526,1.885,0.761764706,0.514285714,2.122222222,4.954285714,0.261428571,0.506666667,0.38974359,0.458333333,0.472093023,0.3,2.424,0.239240506,0.946428571,1.244067797,1.002087683,0.707395498,3.866883117,0.791596639,0.198237885,0.789017341,0.207897793,0.804260985,0.619047619,0.42893401,1.267379679,1.99143469,4.223529412,1.248826291,1.092511013,4.23580786,0.487964989,1.134883721,5.895604396,2.294117647,0.545454545,0.399698341,0.305980529,0.683673469,0.420664207,1.606060606,0.324858757,1.725055432,0.445238095,0.437585734,0.469230769,2.227353464,0.190875233,0.465288035,0.284660767,0.5,0.305186972,0.326013514,0.208619001,0.300689655,0.447900467,0.375354108,0.403532609,0.536764706,0.604907975,0.831960461,0.346311475
Acetate,53.52156863,66.22432432,71.1675,74.86756757,69.865,36.13409091,79.27222222,38.73061224,39.0942029,66.35869565,35,48.93421053,47.4125,101.2235294,75.48095238,40.06111111,97.24285714,41.41714286,38.68833333,31.74871795,37.90333333,52.84186047,31.99444444,29.264,27.8164557,47.2,56.15423729,40.23799582,25.69453376,31.27272727,32.23865546,24.09801762,73.41618497,32.8466899,33.3608522,28.68650794,58.02030457,36.62566845,29.12847966,52.87058824,45.9342723,72.00440529,31.93449782,79.39606127,30.05116279,49.24450549,167.2235294,46.48148148,31.22775264,49.81641168,48.66666667,63.36900369,123.8825758,27.42231638,28.23725055,34.08333333,25.65432099,13.76410256,25.42628774,20.93575419,28.35893648,42.48525074,32.9361413,19.986731,29.14358108,20.83545544,44.12,12.65940902,15.57932011,39.38586957,28.08578431,19.27852761,18.0461285,19.4795082
Adenine,6.723529412,7.708108108,13.05,10.32432432,10.6125,0.981818182,10.25555556,0.546938776,5.555072464,10.28695652,0.6,2.697368421,1.8375,13.92941176,9.45,2.155555556,16.22,6.054285714,6.213333333,1.062820513,5.848333333,7.820930233,4.788888889,0.246,2.898734177,6.407142857,6.869491525,6.384133612,2.717041801,1.084415584,3.453781513,5.189427313,6.26300578,6.303135889,6.735019973,3.186507937,11.28680203,6.823529412,1.856531049,7.505882353,9.774647887,5.519823789,2.995633188,12.71115974,0.869767442,4.354395604,25.72352941,4.481481481,5.612368024,6.965229485,4.295918367,1.808118081,14.28787879,2.783898305,1.67405765,3.64047619,4.886145405,2.471794872,1.209591474,4.34264432,0.521418021,4.119469027,4.917119565,5.756332931,7.422297297,3.672869736,4.624827586,1.396578538,2.963172805,4.501358696,1.357843137,1.960736196,2.792421746,2.336065574
Alanine,3.350980392,4.618918919,7.3725,5.2,5.6325,1.797727273,3.483333333,1.481632653,3.473913043,4.806521739,2.241176471,1.928947368,1.47,8.402941176,4.473809524,4.466666667,9.668571429,2.832857143,7.916666667,1.194871795,3.346666667,3.641860465,2.559722222,2.68,1.864556962,4.255357143,14.05254237,3.582463466,2.302250804,1.944805195,2.23697479,2.997797357,3.121387283,3.538908246,4.225033289,3.674603175,6.733502538,5.401069519,1.434689507,7.176470588,7.253521127,6.581497797,3.375545852,6.717724289,2.279069767,2.964285714,19.11764706,3.063973064,2.546003017,3.044506259,3.568027211,2.018450185,8.454545455,1.370056497,3.33924612,2.945238095,3.085048011,1.701709402,1.211367673,2.454376164,1.471196455,1.991150442,2.569293478,3.635705669,4.048986486,1.964740451,2.828965517,1.730948678,2.412181303,2.963315217,3.080882353,1.728834356,3.362438221,1.782786885
Alpha-ketoisovaleric acid,0.058823529,0.045945946,0.1975,0.037837838,0.045,0.031818182,0.108333333,0.024489796,0.08115942,0.043478261,0.035294118,0.031578947,0.01,0.032352941,0.021428571,0.094444444,0.048571429,0.028571429,0.111666667,0.017948718,0.025,0.072093023,0.081944444,0.032,0.027848101,0.032142857,0.379661017,0.025052192,0.025723473,0.029220779,0.070588235,0.105726872,0.026011561,0.042973287,0.023968043,0.05952381,0.043147208,0.106951872,0.029978587,0.105882353,0.098591549,0.207048458,0.061135371,0.028446389,0.195348837,0.021978022,0.058823529,0.043771044,0.058823529,0.025034771,0.068027211,0.040590406,0.026515152,0.019774011,0.075388027,0.126190476,0.041152263,0.032478632,0.031971581,0.030726257,0.022156573,0.041297935,0.038043478,0.086851628,0.121621622,0.023506366,0.07862069,0.029548989,0.076487252,0.073369565,0.053921569,0.044171779,0.062602965,0.028688525
Arabinose,4.823529412,6.508108108,2.0025,8.721621622,4.82,8.181818182,3.044444444,10.18571429,1.642028986,5.297826087,11.95588235,5.305263158,6.0375,2.752941176,3.047619048,17.37222222,2.697142857,3.652857143,5.345,4.778205128,6.211666667,6.03255814,3.501388889,7.924,3.012658228,7.855357143,4.283050847,6.189979123,5.713826367,5.769480519,3.191596639,3.570484581,7.011560694,3.010452962,5.716378162,6.376984127,4.812182741,4.962566845,2.175588865,11.15294118,9.018779343,5.718061674,6.545851528,14.71772429,4.423255814,8.832417582,11.71764706,4.215488215,1.027149321,4.930458971,4.034013605,9.32103321,8.992424242,3.604519774,10.53436807,6.966666667,2.551440329,1.658119658,5.973357016,1.648044693,6.067946824,4.137168142,3.502717391,2.595898673,2.543918919,2.508325171,2.659310345,9.192846034,3.872521246,2.707880435,17.1495098,2.818404908,2.915980231,8.157786885
Asparagine,0.3,0.218918919,0.2025,0.37027027,0.3425,0.268181818,0.327777778,0.240816327,0.171014493,0.204347826,0.276470588,0.247368421,0.235,0.752941176,0.369047619,0.861111111,0.442857143,0.148571429,0.306666667,0.125641026,0.163333333,0.227906977,0.098611111,0.198,0.125316456,0.176785714,0.361016949,0.246346555,0.270096463,0.181818182,0.094117647,0.129955947,0.332369942,0.202090592,0.203728362,0.277777778,0.411167513,0.363636364,0.145610278,0.594117647,0.38028169,0.242290749,0.35371179,0.415754923,0.302325581,0.285714286,1.105882353,0.276094276,0.156862745,0.250347705,0.404761905,0.346863469,0.965909091,0.22740113,0.412416851,0.338095238,0.165980796,0.103418803,0.25044405,0.27839851,0.169867061,0.134218289,0.141304348,0.246079614,0.114864865,0.150832517,0.125517241,0.360808709,0.162889518,0.164402174,0.296568627,0.191411043,0.21416804,0.174180328
