Sample ID,186.M.C.3,187.M.C.3,188.C.C.3,189.C.C.3,190.C.C.3,191.M.C.3,192.M.C.3,193.C.C.3,194.C.C.3,197.C.C.3,198.M.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,228.M.C.3,229.M.C.3,255.M.C.3,256.M.C.3,257.C.C.3
Group,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused
2-Aminoisobutyric acid,0.062745098,0.032432432,0.09,0.210810811,0.195,0.056818182,0.036111111,0.048979592,0.034782609,0.052173913,0.070588235,0.081578947,0.08,0.129411765,0.069047619,0.133333333,0.068571429,0.109302326,0.026388889,0.038
4-Hydroxyphenylacetate,0.131372549,0.27027027,0.2625,0.2,0.185,0.427272727,0.286111111,0.273469388,0.149275362,0.223913043,0.302941176,0.147368421,0.5025,0.317647059,0.20952381,0.488888889,0.214285714,0.11627907,0.097222222,0.14
5-Aminopentanoate,0.362745098,0.340540541,1.17,2.427027027,0.5025,1.309090909,1.413888889,3.257142857,0.47826087,0.636956522,2.464705882,0.534210526,1.885,0.761764706,0.514285714,2.122222222,4.954285714,0.472093023,0.3,2.424
Acetate,53.52156863,66.22432432,71.1675,74.86756757,69.865,36.13409091,79.27222222,38.73061224,39.0942029,66.35869565,35,48.93421053,47.4125,101.2235294,75.48095238,40.06111111,97.24285714,52.84186047,31.99444444,29.264
Adenine,6.723529412,7.708108108,13.05,10.32432432,10.6125,0.981818182,10.25555556,0.546938776,5.555072464,10.28695652,0.6,2.697368421,1.8375,13.92941176,9.45,2.155555556,16.22,7.820930233,4.788888889,0.246
Alanine,3.350980392,4.618918919,7.3725,5.2,5.6325,1.797727273,3.483333333,1.481632653,3.473913043,4.806521739,2.241176471,1.928947368,1.47,8.402941176,4.473809524,4.466666667,9.668571429,3.641860465,2.559722222,2.68
Alpha-ketoisovaleric acid,0.058823529,0.045945946,0.1975,0.037837838,0.045,0.031818182,0.108333333,0.024489796,0.08115942,0.043478261,0.035294118,0.031578947,0.01,0.032352941,0.021428571,0.094444444,0.048571429,0.072093023,0.081944444,0.032
Arabinose,4.823529412,6.508108108,2.0025,8.721621622,4.82,8.181818182,3.044444444,10.18571429,1.642028986,5.297826087,11.95588235,5.305263158,6.0375,2.752941176,3.047619048,17.37222222,2.697142857,6.03255814,3.501388889,7.924
Asparagine,0.3,0.218918919,0.2025,0.37027027,0.3425,0.268181818,0.327777778,0.240816327,0.171014493,0.204347826,0.276470588,0.247368421,0.235,0.752941176,0.369047619,0.861111111,0.442857143,0.227906977,0.098611111,0.198
Aspartate,1.662745098,1.613513514,2.9925,2.418918919,1.7775,0.715909091,1.375,0.895918367,1.572463768,1.986956522,1.105882353,1.213157895,0.85,4.305882353,1.804761905,1.805555556,4.571428571,1.853488372,1.094444444,1.656
Beta-N-Acetylglucosamine,7.494117647,10.32972973,17.625,2.943243243,17.08,9.15,12.33611111,2.524489796,15.12753623,7.026086957,2.638235294,4.134210526,5.3375,2.902941176,9.347619048,4.011111111,4.168571429,6.253488372,8.280555556,3.94
