Sample ID,186.M.C.3,187.M.C.3,191.M.C.3,192.M.C.3,198.M.C.3,228.M.C.3,229.M.C.3,269.M.S.3,270.M.S.3,271.M.S.3,272.M.S.3,255.M.C.3,256.M.C.3,27.M.S.4,28.M.S.4,37.M.S.3,80.M.S.3,81.M.S.3,49.M.S.3,52.M.S.3,55.M.S.3,58.M.S.3,54.M.S.3,43.M.S.3,56.M.S.3,77.M.S.3,75.M.S.3,61.M.S.3,47.M.S.3,71.M.S.3,65.M.S.3,44.M.S.3,67.M.S.3,41.M.S.3
Group,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.062745098,0.032432432,0.056818182,0.036111111,0.070588235,0.133333333,0.068571429,0.032857143,0.071666667,0.055128205,0.048333333,0.109302326,0.026388889,0.021186441,0.064301552,0.088095238,0.038408779,0.031623932,0.065719361,0.034450652,0.051698671,0.033923304,0.033967391,0.051869723,0.038851351,0.011753183,0.023448276,0.045101089,0.036827195,0.038043478,0.034313725,0.017177914,0.02800659,0.036885246
4-Hydroxyphenylacetate,0.131372549,0.27027027,0.427272727,0.286111111,0.302941176,0.488888889,0.214285714,0.107142857,0.125,0.203846154,0.265,0.11627907,0.097222222,0.142655367,0.203991131,0.178571429,0.124828532,0.072649573,0.129662522,0.10707635,0.205317578,0.156342183,0.171195652,0.115802171,0.195945946,0.083251714,0.110344828,0.138413686,0.123229462,0.190217391,0.223039216,0.176687117,0.207578254,0.168032787
5-Aminopentanoate,0.362745098,0.340540541,1.309090909,1.413888889,2.464705882,2.122222222,4.954285714,0.261428571,0.506666667,0.38974359,0.458333333,0.472093023,0.3,0.324858757,1.725055432,0.445238095,0.437585734,0.469230769,2.227353464,0.190875233,0.465288035,0.284660767,0.5,0.305186972,0.326013514,0.208619001,0.300689655,0.447900467,0.375354108,0.403532609,0.536764706,0.604907975,0.831960461,0.346311475
Acetate,53.52156863,66.22432432,36.13409091,79.27222222,35,40.06111111,97.24285714,41.41714286,38.68833333,31.74871795,37.90333333,52.84186047,31.99444444,27.42231638,28.23725055,34.08333333,25.65432099,13.76410256,25.42628774,20.93575419,28.35893648,42.48525074,32.9361413,19.986731,29.14358108,20.83545544,44.12,12.65940902,15.57932011,39.38586957,28.08578431,19.27852761,18.0461285,19.4795082
Adenine,6.723529412,7.708108108,0.981818182,10.25555556,0.6,2.155555556,16.22,6.054285714,6.213333333,1.062820513,5.848333333,7.820930233,4.788888889,2.783898305,1.67405765,3.64047619,4.886145405,2.471794872,1.209591474,4.34264432,0.521418021,4.119469027,4.917119565,5.756332931,7.422297297,3.672869736,4.624827586,1.396578538,2.963172805,4.501358696,1.357843137,1.960736196,2.792421746,2.336065574
Alanine,3.350980392,4.618918919,1.797727273,3.483333333,2.241176471,4.466666667,9.668571429,2.832857143,7.916666667,1.194871795,3.346666667,3.641860465,2.559722222,1.370056497,3.33924612,2.945238095,3.085048011,1.701709402,1.211367673,2.454376164,1.471196455,1.991150442,2.569293478,3.635705669,4.048986486,1.964740451,2.828965517,1.730948678,2.412181303,2.963315217,3.080882353,1.728834356,3.362438221,1.782786885
Alpha-ketoisovaleric acid,0.058823529,0.045945946,0.031818182,0.108333333,0.035294118,0.094444444,0.048571429,0.028571429,0.111666667,0.017948718,0.025,0.072093023,0.081944444,0.019774011,0.075388027,0.126190476,0.041152263,0.032478632,0.031971581,0.030726257,0.022156573,0.041297935,0.038043478,0.086851628,0.121621622,0.023506366,0.07862069,0.029548989,0.076487252,0.073369565,0.053921569,0.044171779,0.062602965,0.028688525
Arabinose,4.823529412,6.508108108,8.181818182,3.044444444,11.95588235,17.37222222,2.697142857,3.652857143,5.345,4.778205128,6.211666667,6.03255814,3.501388889,3.604519774,10.53436807,6.966666667,2.551440329,1.658119658,5.973357016,1.648044693,6.067946824,4.137168142,3.502717391,2.595898673,2.543918919,2.508325171,2.659310345,9.192846034,3.872521246,2.707880435,17.1495098,2.818404908,2.915980231,8.157786885
Asparagine,0.3,0.218918919,0.268181818,0.327777778,0.276470588,0.861111111,0.442857143,0.148571429,0.306666667,0.125641026,0.163333333,0.227906977,0.098611111,0.22740113,0.412416851,0.338095238,0.165980796,0.103418803,0.25044405,0.27839851,0.169867061,0.134218289,0.141304348,0.246079614,0.114864865,0.150832517,0.125517241,0.360808709,0.162889518,0.164402174,0.296568627,0.191411043,0.21416804,0.174180328
