,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8,186.M.C.6,187.M.C.6,188.C.C.6,189.C.C.6,190.C.C.6,191.M.C.6,192.M.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,198.M.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,228.M.C.6,229.M.C.6,236.M.C.6,237.C.C.6,238.C.C.6,241.C.C.6,242.M.C.6,243.C.C.6,252.M.C.6,253.C.C.6,254.C.C.6,255.M.C.6,256.M.C.6,257.C.C.6,259.M.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
2-Aminoisobutyric acid,0.070052539,0.044091711,0.062801932,0.104166667,0.077253219,0.072463768,0.100806452,0.212851406,0.04743833,0.140077821,0.0997921,0.047222222,0.092307692,0.015384615,0.049531459,0.165562914,0.042128603,0.04296875,0.064516129,0.095057034,0.131443299,0.030215827,0.052835052,0.080578512,0.040372671,0.112820513,0.026277372,0.02283105,0.027729636,0.125333333,0.086956522,0.0472879,0.035673188,0.053254438,0.086887836,0.111353712,0.055882353,0.020654045,0.011750881,0.078838174,0.031161473,0.028571429,0.095516569,0.030852995,0.066455696,0.083333333,0.023154848,0.050632911,0.036231884,0.057291667,0.171122995,0.068965517,0.030448718
4-Hydroxyphenylacetate,0.227670753,0.268077601,0.311594203,0.43452381,0.566523605,0.242236025,0.411290323,0.469879518,0.129032258,0.354085603,0.166320166,0.713888889,0.423076923,0.156410256,0.147255689,0.420529801,0.159645233,0.065429688,0.263929619,0.233840304,0.255154639,0.405755396,0.182989691,0.254132231,0.214285714,0.530769231,0.132846715,0.151826484,0.180242634,0.304,0.228985507,0.183588317,0.111622555,0.187376726,0.28436019,0.161572052,0.389705882,0.177280551,0.237367803,0.454356846,0.252124646,0.219642857,0.504873294,0.255898367,0.522151899,0.231666667,0.179450072,0.280590717,0.280193237,0.270833333,0.368983957,0.255898367,0.169871795
5-Aminopentanoate,0.320490368,0.28042328,0.582125604,3.410714286,5.381974249,0.848861284,0.887096774,1.827309237,0.305502846,1.684824903,0.496881497,4.708333333,1.423076923,0.225641026,0.236947791,1.894039735,0.463414634,0.1953125,0.316715543,1.86121673,0.93556701,1.835971223,0.570876289,0.694214876,0.684782609,3.061538462,0.313868613,0.5,1.08492201,2.362666667,1.508695652,0.38108484,0.352128884,0.990138067,0.976303318,0.373362445,0.411764706,0.402753873,1.938895417,0.647302905,2.677053824,2.839285714,1.360623782,0.199637024,0.648734177,1.015,0.10853835,0.383966245,0.830917874,0.84375,0.513368984,1.286751361,0.967948718
Acetate,37.65148862,38.02645503,42.6763285,30.53869048,39.88841202,55.24223602,53.7016129,96.0562249,57.30929791,61.95719844,69.65904366,37.44722222,31.21923077,21.32435897,22.67871486,37.54966887,54.60310421,21.93652344,66.33431085,19.72623574,20.03865979,26.41870504,23.23195876,36.83057851,38.77639752,24.11794872,40.93868613,18.26369863,47.96187175,19.152,17.17826087,39.53685675,17.7721519,18.84615385,27.58767773,18.91921397,34.22647059,15.39931153,15.54289072,55.11618257,12.82719547,8.141071429,23.82261209,19.42105263,40.08544304,20.98833333,23.73227207,20.12869198,19.69927536,34.98958333,29.78074866,32.65880218,26.33814103
Adenine,7.061295972,8.488536155,10.98309179,0.764880952,8.188841202,1.51552795,3.64516129,13.83534137,7.199240987,4.556420233,9.948024948,0.994444444,2.780769231,3.523076923,5.005354752,5.804635762,10.0443459,4.34375,6.516129032,1.022813688,1.31185567,1.598561151,2.356958763,10.65702479,5.555900621,2.397435897,4.769343066,1.844748858,4.937608319,1.413333333,0.776811594,6.146036161,5.609896433,0.923076923,1.630331754,1.279475983,7.036764706,0.542168675,0.807285546,1.433609959,1.205382436,0.701785714,1.528265107,1.301270417,5.199367089,0.691666667,1.277858177,2.360759494,0.472222222,1.432291667,2.510695187,1.520871143,1.475961538
Alanine,3.215411559,3.48324515,3.975845411,2.139880952,7.540772532,1.393374741,2.943548387,7.052208835,2.861480076,3.435797665,4.474012474,3.091666667,3.726923077,1.617948718,2.712182062,6.165562914,5.292682927,2.37109375,4.762463343,2.212927757,2.087628866,1.474820144,1.203608247,5.45661157,2.636645963,3.251282051,2.249635036,1.301369863,1.878682842,1.442666667,0.84057971,2.763560501,3.021864212,1.114398422,1.06793049,1.371179039,3.279411765,0.602409639,0.914218566,0.98340249,1.651558074,1.741071429,1.259259259,1.499092559,3.313291139,0.736666667,1.141823444,2.160337553,0.766908213,1.440104167,2.443850267,1.468239564,1.575320513
Alpha-ketoisovaleric acid,0.043782837,0.054673721,0.229468599,0.041666667,0.21888412,0.01242236,0.048387097,0.088353414,0.083491461,0.175097276,0.051975052,0.036111111,0.153846154,0.032051282,0.172690763,0.241721854,0.031042129,0.041992188,0.064516129,0.032319392,0.046391753,0.031654676,0.007731959,0.082644628,0.099378882,0.023076923,0.02189781,0.017123288,0.060658579,0.024,0.02173913,0.018080668,0.03452244,0.015779093,0.020537125,0.034934498,0.035294118,0.013769363,0.012925969,0.020746888,0.014164306,0.0125,0.007797271,0.014519056,0.022151899,0.006666667,0.017366136,0.025316456,0.014492754,0.036458333,0.077540107,0.01814882,0.019230769
Arabinose,3.61295972,3.234567901,3.45410628,1.982142857,14.11587983,7.265010352,16.42741935,6.975903614,2.442125237,10.70428016,2.752598753,6.447222222,8.526923077,3.06025641,1.850066934,7.745033113,8.629711752,3.149414063,6.870967742,11.69201521,12.36597938,2.984172662,2.235824742,4.719008264,3.687888199,10.41794872,2.727007299,1.099315068,2.544194107,4.917333333,4.447826087,4.006954103,1.866513234,4.506903353,1.900473934,10.20524017,3.170588235,1.796901893,1.602820212,4.170124481,5.650141643,4.416071429,7.348927875,4.477313975,4.57278481,6.81,2.979739508,4.47257384,2.821256039,4.856770833,7.911764706,4.132486388,5.193910256
Asparagine,0.220665499,0.222222222,0.287439614,0.354166667,0.373390558,0.180124224,0.350806452,0.281124498,0.210626186,0.26459144,0.218295218,0.1,0.357692308,0.107692308,0.113788487,0.311258278,0.312638581,0.057617188,0.26686217,0.093155894,0.072164948,0.156834532,0.068298969,0.07231405,0.135093168,0.125641026,0.071532847,0.028538813,0.08492201,0.2,0.097101449,0.059805285,0.059838895,0.065088757,0.055292259,0.163755459,0.072058824,0.077452668,0.034077556,0.041493776,0.087818697,0.041071429,0.161793372,0.094373866,0.148734177,0.073333333,0.098408104,0.0907173,0.054347826,0.145833333,0.227272727,0.041742287,0.075320513
