,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,20.C.S.5,21.C.S.5,62.C.S.8,188.C.C.6,189.C.C.6,190.C.C.6,193.C.C.6,194.C.C.6,195.C.C.6,197.C.C.6,199.C.C.6,225.C.C.6,226.C.C.6,227.C.C.6,237.C.C.6,238.C.C.6,241.C.C.6,243.C.C.6,253.C.C.6,254.C.C.6,257.C.C.6,261.C.C.6,262.C.C.6,263.C.C.6
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused
2-Aminoisobutyric acid,0.072463768,0.100806452,0.212851406,0.04743833,0.140077821,0.0997921,0.165562914,0.042128603,0.064516129,0.030215827,0.052835052,0.080578512,0.026277372,0.02283105,0.027729636,0.125333333,0.0472879,0.035673188,0.053254438,0.086887836,0.011750881,0.078838174,0.031161473,0.095516569,0.066455696,0.083333333,0.036231884,0.171122995,0.068965517,0.030448718
4-Hydroxyphenylacetate,0.242236025,0.411290323,0.469879518,0.129032258,0.354085603,0.166320166,0.420529801,0.159645233,0.263929619,0.405755396,0.182989691,0.254132231,0.132846715,0.151826484,0.180242634,0.304,0.183588317,0.111622555,0.187376726,0.28436019,0.237367803,0.454356846,0.252124646,0.504873294,0.522151899,0.231666667,0.280193237,0.368983957,0.255898367,0.169871795
5-Aminopentanoate,0.848861284,0.887096774,1.827309237,0.305502846,1.684824903,0.496881497,1.894039735,0.463414634,0.316715543,1.835971223,0.570876289,0.694214876,0.313868613,0.5,1.08492201,2.362666667,0.38108484,0.352128884,0.990138067,0.976303318,1.938895417,0.647302905,2.677053824,1.360623782,0.648734177,1.015,0.830917874,0.513368984,1.286751361,0.967948718
Acetate,55.24223602,53.7016129,96.0562249,57.30929791,61.95719844,69.65904366,37.54966887,54.60310421,66.33431085,26.41870504,23.23195876,36.83057851,40.93868613,18.26369863,47.96187175,19.152,39.53685675,17.7721519,18.84615385,27.58767773,15.54289072,55.11618257,12.82719547,23.82261209,40.08544304,20.98833333,19.69927536,29.78074866,32.65880218,26.33814103
Adenine,1.51552795,3.64516129,13.83534137,7.199240987,4.556420233,9.948024948,5.804635762,10.0443459,6.516129032,1.598561151,2.356958763,10.65702479,4.769343066,1.844748858,4.937608319,1.413333333,6.146036161,5.609896433,0.923076923,1.630331754,0.807285546,1.433609959,1.205382436,1.528265107,5.199367089,0.691666667,0.472222222,2.510695187,1.520871143,1.475961538
Alanine,1.393374741,2.943548387,7.052208835,2.861480076,3.435797665,4.474012474,6.165562914,5.292682927,4.762463343,1.474820144,1.203608247,5.45661157,2.249635036,1.301369863,1.878682842,1.442666667,2.763560501,3.021864212,1.114398422,1.06793049,0.914218566,0.98340249,1.651558074,1.259259259,3.313291139,0.736666667,0.766908213,2.443850267,1.468239564,1.575320513
Alpha-ketoisovaleric acid,0.01242236,0.048387097,0.088353414,0.083491461,0.175097276,0.051975052,0.241721854,0.031042129,0.064516129,0.031654676,0.007731959,0.082644628,0.02189781,0.017123288,0.060658579,0.024,0.018080668,0.03452244,0.015779093,0.020537125,0.012925969,0.020746888,0.014164306,0.007797271,0.022151899,0.006666667,0.014492754,0.077540107,0.01814882,0.019230769
Arabinose,7.265010352,16.42741935,6.975903614,2.442125237,10.70428016,2.752598753,7.745033113,8.629711752,6.870967742,2.984172662,2.235824742,4.719008264,2.727007299,1.099315068,2.544194107,4.917333333,4.006954103,1.866513234,4.506903353,1.900473934,1.602820212,4.170124481,5.650141643,7.348927875,4.57278481,6.81,2.821256039,7.911764706,4.132486388,5.193910256
Asparagine,0.180124224,0.350806452,0.281124498,0.210626186,0.26459144,0.218295218,0.311258278,0.312638581,0.26686217,0.156834532,0.068298969,0.07231405,0.071532847,0.028538813,0.08492201,0.2,0.059805285,0.059838895,0.065088757,0.055292259,0.034077556,0.041493776,0.087818697,0.161793372,0.148734177,0.073333333,0.054347826,0.227272727,0.041742287,0.075320513
