,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,12.M.S.6,186.M.C.6,187.M.C.6,191.M.C.6,192.M.C.6,198.M.C.6,228.M.C.6,229.M.C.6,236.M.C.6,242.M.C.6,252.M.C.6,255.M.C.6,256.M.C.6,259.M.C.6
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused
2-Aminoisobutyric acid,0.070052539,0.044091711,0.062801932,0.104166667,0.077253219,0.047222222,0.092307692,0.015384615,0.049531459,0.04296875,0.095057034,0.131443299,0.040372671,0.112820513,0.086956522,0.111353712,0.055882353,0.020654045,0.028571429,0.030852995,0.023154848,0.050632911,0.057291667
4-Hydroxyphenylacetate,0.227670753,0.268077601,0.311594203,0.43452381,0.566523605,0.713888889,0.423076923,0.156410256,0.147255689,0.065429688,0.233840304,0.255154639,0.214285714,0.530769231,0.228985507,0.161572052,0.389705882,0.177280551,0.219642857,0.255898367,0.179450072,0.280590717,0.270833333
5-Aminopentanoate,0.320490368,0.28042328,0.582125604,3.410714286,5.381974249,4.708333333,1.423076923,0.225641026,0.236947791,0.1953125,1.86121673,0.93556701,0.684782609,3.061538462,1.508695652,0.373362445,0.411764706,0.402753873,2.839285714,0.199637024,0.10853835,0.383966245,0.84375
Acetate,37.65148862,38.02645503,42.6763285,30.53869048,39.88841202,37.44722222,31.21923077,21.32435897,22.67871486,21.93652344,19.72623574,20.03865979,38.77639752,24.11794872,17.17826087,18.91921397,34.22647059,15.39931153,8.141071429,19.42105263,23.73227207,20.12869198,34.98958333
Adenine,7.061295972,8.488536155,10.98309179,0.764880952,8.188841202,0.994444444,2.780769231,3.523076923,5.005354752,4.34375,1.022813688,1.31185567,5.555900621,2.397435897,0.776811594,1.279475983,7.036764706,0.542168675,0.701785714,1.301270417,1.277858177,2.360759494,1.432291667
Alanine,3.215411559,3.48324515,3.975845411,2.139880952,7.540772532,3.091666667,3.726923077,1.617948718,2.712182062,2.37109375,2.212927757,2.087628866,2.636645963,3.251282051,0.84057971,1.371179039,3.279411765,0.602409639,1.741071429,1.499092559,1.141823444,2.160337553,1.440104167
Alpha-ketoisovaleric acid,0.043782837,0.054673721,0.229468599,0.041666667,0.21888412,0.036111111,0.153846154,0.032051282,0.172690763,0.041992188,0.032319392,0.046391753,0.099378882,0.023076923,0.02173913,0.034934498,0.035294118,0.013769363,0.0125,0.014519056,0.017366136,0.025316456,0.036458333
Arabinose,3.61295972,3.234567901,3.45410628,1.982142857,14.11587983,6.447222222,8.526923077,3.06025641,1.850066934,3.149414063,11.69201521,12.36597938,3.687888199,10.41794872,4.447826087,10.20524017,3.170588235,1.796901893,4.416071429,4.477313975,2.979739508,4.47257384,4.856770833
Asparagine,0.220665499,0.222222222,0.287439614,0.354166667,0.373390558,0.1,0.357692308,0.107692308,0.113788487,0.057617188,0.093155894,0.072164948,0.135093168,0.125641026,0.097101449,0.163755459,0.072058824,0.077452668,0.041071429,0.094373866,0.098408104,0.0907173,0.145833333
Aspartate,1.630472855,1.654320988,2.596618357,1.678571429,4.300429185,0.916666667,1.653846154,0.652564103,1.049531459,0.860351563,1.328897338,1.512886598,1.127329193,1.571794872,0.466666667,0.716157205,1.75,0.703958692,0.866071429,0.66061706,0.856729378,1.436708861,1.635416667
Beta-N-Acetylglucosamine,16.42556918,10.18871252,20.98309179,10.36607143,29.70815451,4.4,10.56923077,10.54358974,5.878179384,9.520507813,6.41634981,2.391752577,16.88819876,9.794871795,3.834782609,4.347161572,11.11617647,5.04130809,1.876785714,7.301270417,4.516642547,13.42405063,3.549479167
Butyrate,6.197898424,9.283950617,12.95169082,1.258928571,4.605150215,1.386111111,3.257692308,2.584615385,2.906291834,2.463867188,1.868821293,1.716494845,6.860248447,1.117948718,1.837681159,2.469432314,5.070588235,1.139414802,0.414285714,1.441016334,1.358900145,1.41350211,0.755208333
