,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,74.C.S.6,76.C.S.6,63.C.S.6,64.C.S.6,72.C.S.6,73.C.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,20.C.S.5,21.C.S.5,12.M.S.6,62.C.S.8
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Mutant_Separate,Control_Separate
2-Aminoisobutyric acid,0.070052539,0.044091711,0.062801932,0.104166667,0.077253219,0.072463768,0.100806452,0.212851406,0.04743833,0.140077821,0.0997921,0.047222222,0.092307692,0.015384615,0.049531459,0.165562914,0.042128603,0.04296875,0.064516129
4-Hydroxyphenylacetate,0.227670753,0.268077601,0.311594203,0.43452381,0.566523605,0.242236025,0.411290323,0.469879518,0.129032258,0.354085603,0.166320166,0.713888889,0.423076923,0.156410256,0.147255689,0.420529801,0.159645233,0.065429688,0.263929619
5-Aminopentanoate,0.320490368,0.28042328,0.582125604,3.410714286,5.381974249,0.848861284,0.887096774,1.827309237,0.305502846,1.684824903,0.496881497,4.708333333,1.423076923,0.225641026,0.236947791,1.894039735,0.463414634,0.1953125,0.316715543
Acetate,37.65148862,38.02645503,42.6763285,30.53869048,39.88841202,55.24223602,53.7016129,96.0562249,57.30929791,61.95719844,69.65904366,37.44722222,31.21923077,21.32435897,22.67871486,37.54966887,54.60310421,21.93652344,66.33431085
Adenine,7.061295972,8.488536155,10.98309179,0.764880952,8.188841202,1.51552795,3.64516129,13.83534137,7.199240987,4.556420233,9.948024948,0.994444444,2.780769231,3.523076923,5.005354752,5.804635762,10.0443459,4.34375,6.516129032
Alanine,3.215411559,3.48324515,3.975845411,2.139880952,7.540772532,1.393374741,2.943548387,7.052208835,2.861480076,3.435797665,4.474012474,3.091666667,3.726923077,1.617948718,2.712182062,6.165562914,5.292682927,2.37109375,4.762463343
Alpha-ketoisovaleric acid,0.043782837,0.054673721,0.229468599,0.041666667,0.21888412,0.01242236,0.048387097,0.088353414,0.083491461,0.175097276,0.051975052,0.036111111,0.153846154,0.032051282,0.172690763,0.241721854,0.031042129,0.041992188,0.064516129
Arabinose,3.61295972,3.234567901,3.45410628,1.982142857,14.11587983,7.265010352,16.42741935,6.975903614,2.442125237,10.70428016,2.752598753,6.447222222,8.526923077,3.06025641,1.850066934,7.745033113,8.629711752,3.149414063,6.870967742
Asparagine,0.220665499,0.222222222,0.287439614,0.354166667,0.373390558,0.180124224,0.350806452,0.281124498,0.210626186,0.26459144,0.218295218,0.1,0.357692308,0.107692308,0.113788487,0.311258278,0.312638581,0.057617188,0.26686217
Aspartate,1.630472855,1.654320988,2.596618357,1.678571429,4.300429185,0.892339545,1.995967742,3.967871486,1.370018975,1.852140078,2.367983368,0.916666667,1.653846154,0.652564103,1.049531459,3.701986755,3.026607539,0.860351563,1.692082111
Beta-N-Acetylglucosamine,16.42556918,10.18871252,20.98309179,10.36607143,29.70815451,1.788819876,5.379032258,33.20080321,9.916508539,7.739299611,18.25571726,4.4,10.56923077,10.54358974,5.878179384,16.86423841,16.26385809,9.520507813,10.75953079
Butyrate,6.197898424,9.283950617,12.95169082,1.258928571,4.605150215,10.20910973,4.27016129,8.493975904,8.138519924,12.68093385,11.30769231,1.386111111,3.257692308,2.584615385,2.906291834,3.751655629,3.592017738,2.463867188,9.586510264
Chenodeoxycholic acid,1.134851138,0.100529101,0.094202899,1.386904762,2.570815451,0.805383023,0.911290323,0.16064257,0.237191651,0.961089494,0.066528067,1.494444444,2.784615385,1.691025641,5.263721553,11.9602649,1.277161863,0.318359375,7.337243402
Cholate,0.019264448,0.024691358,0.007246377,0.077380952,0.030042918,0.17184265,0.056451613,0.032128514,0.011385199,0.140077821,0.008316008,1.194444444,0.873076923,0.219230769,0.022757697,1.182119205,0.039911308,0.047851563,0.15542522
Choline,1.371278459,1.793650794,2.152173913,1.0625,2.236051502,0.942028986,1.774193548,4.863453815,1.561669829,1.377431907,3.692307692,0.444444444,0.376923077,0.532051282,0.380187416,2.960264901,3.88691796,1.408203125,1.299120235
Cytidine monophosphate,0.42732049,0.48324515,0.611111111,0.964285714,3.231759657,0.304347826,0.887096774,1.168674699,0.385199241,1.60311284,0.596673597,0.738888889,2.153846154,0.505128205,0.927710843,1.549668874,0.370288248,0.220703125,1.850439883
D-Glucose,8.607705779,5.781305115,3.316425121,1.592261905,10.8111588,5.215320911,3.903225806,16.76305221,4.007590133,20.96498054,3.446985447,1.313888889,3.069230769,1.902564103,0.848728246,5.513245033,13.05986696,3.315429688,5.140762463
Dimethylamine,0.024518389,0.014109347,0.02173913,0.133928571,0.051502146,0.314699793,0.052419355,0.064257028,0.013282732,0.023346304,0.014553015,0.022222222,0.023076923,0.006410256,0.018741633,0.059602649,0.015521064,0.005859375,0.023460411
Ferulate,0.141856392,0.121693122,0.157004831,0.360119048,0.618025751,0.196687371,0.701612903,0.152610442,0.111954459,0.354085603,0.076923077,0.477777778,0.526923077,0.135897436,0.080321285,0.221854305,0.090909091,0.0703125,0.269794721
Formate,1.308231173,2.052910053,1.393719807,2.410714286,2.78111588,1.163561077,2.721774194,2.578313253,1.127134725,2.369649805,1.257796258,1.147222222,1.603846154,0.435897436,0.646586345,1.78807947,0.871396896,0.451171875,1.718475073
Fucose,0.541155867,0.255731922,1.077294686,1.142857143,2.56223176,0.293995859,1.592741935,2.389558233,0.470588235,1.042801556,0.74012474,0.775,1.838461538,0.617948718,0.623828648,2.122516556,1.037694013,0.526367188,0.824046921
Fumarate,0.134851138,0.116402116,0.166666667,0.375,0.326180258,0.072463768,0.157258065,0.40562249,0.161290323,0.303501946,0.158004158,0.272222222,0.276923077,0.06025641,0.163319946,0.334437086,0.128603104,0.1953125,0.425219941
Galactose,3.814360771,2.358024691,6.043478261,3.255952381,11.05150215,1.944099379,7.072580645,9.16064257,3.117647059,4.151750973,4.912681913,2.744444444,4.015384615,2.661538462,2.137884873,7.298013245,4.128603104,3.241210938,3.580645161
Glucose 1-phosphate,1.208406305,4.088183422,2.224637681,0.613095238,2.21888412,1.198757764,1.673387097,8.168674699,0.977229602,19.60700389,3.172557173,0.375,0.346153846,0.13974359,0.669344043,3.771523179,2.368070953,0.549804688,0.739002933
Glutamate,4.028021016,3.716049383,9.166666667,2.401785714,10.54077253,1.33126294,2.592741935,6.847389558,4.127134725,6.758754864,3.611226611,1.891666667,4.438461538,2.993589744,7.21686747,10.79470199,3.483370288,2.788085938,4.618768328
Glutamine,0.823117338,1.02292769,1.002415459,0.910714286,1.313304721,0.480331263,0.637096774,1.253012048,0.817836812,1.322957198,1.305613306,0.930555556,2.003846154,0.51025641,0.414993307,1.860927152,1.536585366,0.446289063,1.014662757
Glycine,1.1558669,1.315696649,1.789855072,0.827380952,2.399141631,0.610766046,1.169354839,2.763052209,1.146110057,1.540856031,1.715176715,1.180555556,1.415384615,0.835897436,1.136546185,2.158940397,1.762749446,0.833984375,2.219941349
Glycocholate,0.049036778,0.031746032,0.02173913,0.035714286,0.115879828,0.045548654,0.076612903,0.044176707,0.017077799,0.093385214,0.016632017,0.052777778,0.165384615,0.187179487,0.147255689,1.112582781,0.22172949,0.083007813,0.609970674
Guanosine monophosphate,0.528896673,1.074074074,1.323671498,0.717261905,1.021459227,1.134575569,1.346774194,4.064257028,1.738140417,2.420233463,2.047817048,1.088888889,3.05,1.458974359,0.323962517,3.695364238,3.833702882,0.546875,4.865102639
Hexanoylcarnitine,0.054290718,0.130511464,0.11352657,1.5625,0.167381974,0.246376812,0.056451613,0.393574297,0.136622391,0.140077821,0.176715177,0.422222222,0.169230769,0.051282051,0.070950469,0.208609272,0.246119734,0.05859375,0.079178886
