,12.M.S.9,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,257.C.C.9,242.M.C.9,243.C.C.9,252.M.C.9,253.C.C.9,254.C.C.9,259.M.C.9,261.C.C.9,262.C.C.9,186.M.C.9,187.M.C.9,188.C.C.9,189.C.C.9,190.C.C.9,191.M.C.9,192.M.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,198.M.C.9,199.C.C.9,263.C.C.9,236.M.C.9,237.C.C.9,238.C.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.063795853,0.026722925,0.088983051,0.064444444,0.068877551,0.034606205,0.059016393,0.01884058,0.022033898,0.050943396,0.029545455,0.012037037,0.055932203,0.030232558,0.021428571,0.052830189,0.073684211,0.046428571,0.011304348,0.036170213,0.026315789,0.032394366,0.025882353,0.059677419,0.268421053,0.018181818,0.031481481,0.017460317,0.059016393,0.08245614,0.034042553,0.028125,0.025352113,0.024657534,0.078125,0.053703704,0.049206349,0.0525,0.060416667,0.029787234,0.048148148,0.015116279,0.048484848,0.046774194,0.020454545,0.03,0.128571429,0.03880597,0.043333333,0.042307692,0.054347826,0.071929825,0.130769231,0.031147541,0.058181818,0.053164557,0.030985915,0.025714286,0.039240506,0.07260274,0.07,0.03125,0.071232877,0.061904762
4-Hydroxyphenylacetate,0.132376396,0.184247539,0.186440678,0.411111111,0.43877551,0.106205251,0.163934426,0.28115942,0.206779661,0.258490566,0.229545455,0.131481481,0.442372881,0.234883721,0.211428571,0.226415094,0.571929825,0.319642857,0.134782609,0.223404255,0.176315789,0.132394366,0.165882353,0.158064516,0.542105263,0.121818182,0.192592593,0.147619048,0.549180328,0.436842105,0.111702128,0.2515625,0.157746479,0.105479452,0.39375,0.235185185,0.171428571,0.2475,0.327083333,0.214893617,0.205555556,0.13372093,0.487878788,0.088709677,0.127272727,0.222,0.35,0.159701493,0.203333333,0.169230769,0.35,0.254385965,0.353846154,0.432786885,0.229090909,0.110126582,0.123943662,0.117142857,0.081012658,0.182191781,0.12,0.06125,0.134246575,0.142857143
5-Aminopentanoate,0.220095694,0.969057665,0.402542373,0.584444444,4.033163265,0.094272076,0.150819672,1.407246377,0.879661017,0.209433962,0.679545455,0.30462963,0.555932203,1.011627907,0.244285714,0.296226415,2.459649123,0.383928571,0.14173913,0.231914894,0.321052632,2.307042254,3.949411765,0.640322581,2.968421053,0.240909091,0.898148148,0.33968254,2.295081967,1.526315789,0.272340426,0.265625,0.426760563,0.801369863,0.884375,0.453703704,0.352380952,0.51,1.08125,0.634042553,0.472222222,0.675581395,1.909090909,0.598387097,0.185227273,0.878,2.907142857,0.540298507,1.615,0.825,1.813043478,1.866666667,1.425,2.416393443,1.945454545,0.284810127,0.277464789,0.247142857,0.791139241,0.342465753,0.45,0.1825,0.219178082,0.797619048
Acetate,31.38277512,18.91983122,20.77542373,45.3,40.11479592,29.68735084,55.40327869,20.39130435,42.6,36.82264151,36.62954545,27.98796296,20.52881356,26.65813953,41.87142857,36.81320755,42.87368421,33.26607143,22.78,28.70638298,66.51578947,20.39577465,39.23529412,19.39193548,24.56315789,24.38909091,22.15925926,29.39047619,18.69836066,15.85263158,18.91276596,21.94375,28.94084507,36.21643836,38.7375,52.77962963,29.2,22.1575,18.08541667,17.79787234,23.27592593,33.01511628,48.59393939,14.91935484,26.98295455,43.782,20.81190476,29.34328358,16.345,64.66538462,31.86086957,21.90877193,49.44615385,26.41639344,20.52545455,21.58860759,40.81267606,54.63571429,16.26835443,32.05205479,51.155,23.7325,21.29315068,27.69285714
Adenine,6.381180223,2.244725738,1.256355932,1.942222222,1.594387755,2.137231504,4.803278689,1.601449275,6.661016949,0.654716981,1.827272727,3.509259259,0.96440678,1.193023256,4.951428571,2.316981132,2.168421053,6.226785714,3.048695652,2.210638298,4.094736842,0.783098592,5.097647059,1.39516129,2.136842105,2.778181818,0.907407407,2.622222222,1.503278689,0.950877193,3.172340426,1.659375,3.502816901,2.95890411,1.346875,8.296296296,1.179365079,3.1575,1.06875,2.340425532,5.612962963,4.372093023,1.284848485,0.464516129,3.675,5.86,1.238095238,3.994029851,1.153333333,8.730769231,0.82826087,0.796491228,1.963461538,2.196721311,0.445454545,1.262025316,2.508450704,4.841428571,0.544303797,2.146575342,1.295,2.625,0.649315068,1.073809524
Alanine,3.023923445,4.433192686,2.266949153,2.771111111,4.028061224,1.322195704,2.206557377,2.305797101,2.903389831,0.949056604,2.293181818,1.668518519,1.776271186,4.727906977,2.272857143,1.547169811,3.510526316,4.191071429,1.690434783,1.965957447,2.521052632,1.136619718,2.855294118,1.869354839,5.173684211,1.534545455,1.825925926,2.347619048,1.762295082,1.796491228,1.729787234,2.1234375,2.6,1.612328767,2.26875,4.188888889,1.658730159,4.39,1.533333333,2.236170213,3.35,2.115116279,3.036363636,1.380645161,1.148863636,3.54,4.242857143,2.150746269,2.451666667,5.871153846,2.897826087,1.359649123,1.661538462,2.959016393,0.82,1.026582278,1.170422535,2.234285714,0.946835443,1.075342466,1.62,0.99875,1.356164384,2.980952381
Alpha-ketoisovaleric acid,0.07814992,0.023909986,0.031779661,0.022222222,0.025510204,0.005966587,0.018032787,0.031884058,0.06440678,0.009433962,0.054545455,0.062962963,0.030508475,0.097674419,0.042857143,0.039622642,0.040350877,0.083928571,0.084347826,0.061702128,0.086842105,0.026760563,0.04,0.058064516,0.168421053,0.032727273,0.033333333,0.055555556,0.050819672,0.042105263,0.032978723,0.01875,0.03943662,0.071232877,0.08125,0.051851852,0.036507937,0.12,0.045833333,0.065957447,0.137037037,0.091860465,0.048484848,0.008064516,0.029545455,0.1,0.035714286,0.041791045,0.05,0.046153846,0.036956522,0.028070175,0.025,0.02295082,0.010909091,0.02278481,0.030985915,0.024285714,0.012658228,0.034246575,0.025,0.01875,0.030136986,0.033333333
Arabinose,2.432216906,5.436005626,6.226694915,3.608888889,3.160714286,2.096658711,2.813114754,1.707246377,22.76101695,3.649056604,7.904545455,2,2.550847458,6.83255814,3.005714286,6.126415094,4.096491228,4.675,1.706086957,4.914893617,6.189473684,1.678873239,2.708235294,5.912903226,9.726315789,1.487272727,3.046296296,2.180952381,5.57704918,5.489473684,1.686170213,2.1421875,2.347887324,1.542465753,8.821875,2.511111111,2.752380952,7.01,5.954166667,3.827659574,2.853703704,1.327906977,6.690909091,7.333870968,2.634090909,4.162,12.14047619,5.446268657,6.335,4.584615385,3.206521739,3.789473684,4.113461538,3.360655738,3.483636364,3.160759494,1.5,2.187142857,4.62278481,1.857534247,4.12,1.03125,6.221917808,15.4452381
Asparagine,0.200956938,0.558368495,0.281779661,0.16,0.548469388,0.099045346,0.101639344,0.052173913,0.061016949,0.067924528,0.081818182,0.033333333,0.061016949,0.334883721,0.051428571,0.109433962,0.198245614,0.089285714,0.040869565,0.138297872,0.05,0.032394366,0.064705882,0.074193548,0.226315789,0.041818182,0.135185185,0.150793651,0.113114754,0.080701754,0.055319149,0.059375,0.090140845,0.056164384,0.14375,0.101851852,0.146031746,0.4675,0.129166667,0.176595745,0.096296296,0.039534884,0.224242424,0.388709677,0.195454545,0.306,0.664285714,0.311940299,0.445,0.513461538,0.580434783,0.587719298,0.644230769,0.367213115,0.407272727,0.303797468,0.143661972,0.215714286,0.070886076,0.124657534,0.455,0.11375,0.147945205,0.414285714
