,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,257.C.C.9,243.C.C.9,253.C.C.9,254.C.C.9,261.C.C.9,262.C.C.9,188.C.C.9,189.C.C.9,190.C.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,199.C.C.9,263.C.C.9,237.C.C.9,238.C.C.9,183.C.S.10,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,184.C.S.10
,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
2-Aminoisobutyric acid,0.064444444,0.068877551,0.034606205,0.059016393,0.01884058,0.022033898,0.050943396,0.021428571,0.073684211,0.011304348,0.036170213,0.032394366,0.025882353,0.018181818,0.031481481,0.017460317,0.034042553,0.028125,0.025352113,0.024657534,0.053703704,0.049206349,0.060416667,0.029787234,0.128571429,0.054347826,0.071929825,0.130769231,0.031147541,0.058181818,0.053164557,0.030985915,0.07260274
4-Hydroxyphenylacetate,0.411111111,0.43877551,0.106205251,0.163934426,0.28115942,0.206779661,0.258490566,0.211428571,0.571929825,0.134782609,0.223404255,0.132394366,0.165882353,0.121818182,0.192592593,0.147619048,0.111702128,0.2515625,0.157746479,0.105479452,0.235185185,0.171428571,0.327083333,0.214893617,0.35,0.35,0.254385965,0.353846154,0.432786885,0.229090909,0.110126582,0.123943662,0.182191781
5-Aminopentanoate,0.584444444,4.033163265,0.094272076,0.150819672,1.407246377,0.879661017,0.209433962,0.244285714,2.459649123,0.14173913,0.231914894,2.307042254,3.949411765,0.240909091,0.898148148,0.33968254,0.272340426,0.265625,0.426760563,0.801369863,0.453703704,0.352380952,1.08125,0.634042553,2.907142857,1.813043478,1.866666667,1.425,2.416393443,1.945454545,0.284810127,0.277464789,0.342465753
Acetate,45.3,40.11479592,29.68735084,55.40327869,20.39130435,42.6,36.82264151,41.87142857,42.87368421,22.78,28.70638298,20.39577465,39.23529412,24.38909091,22.15925926,29.39047619,18.91276596,21.94375,28.94084507,36.21643836,52.77962963,29.2,18.08541667,17.79787234,20.81190476,31.86086957,21.90877193,49.44615385,26.41639344,20.52545455,21.58860759,40.81267606,32.05205479
Adenine,1.942222222,1.594387755,2.137231504,4.803278689,1.601449275,6.661016949,0.654716981,4.951428571,2.168421053,3.048695652,2.210638298,0.783098592,5.097647059,2.778181818,0.907407407,2.622222222,3.172340426,1.659375,3.502816901,2.95890411,8.296296296,1.179365079,1.06875,2.340425532,1.238095238,0.82826087,0.796491228,1.963461538,2.196721311,0.445454545,1.262025316,2.508450704,2.146575342
Alanine,2.771111111,4.028061224,1.322195704,2.206557377,2.305797101,2.903389831,0.949056604,2.272857143,3.510526316,1.690434783,1.965957447,1.136619718,2.855294118,1.534545455,1.825925926,2.347619048,1.729787234,2.1234375,2.6,1.612328767,4.188888889,1.658730159,1.533333333,2.236170213,4.242857143,2.897826087,1.359649123,1.661538462,2.959016393,0.82,1.026582278,1.170422535,1.075342466
Alpha-ketoisovaleric acid,0.022222222,0.025510204,0.005966587,0.018032787,0.031884058,0.06440678,0.009433962,0.042857143,0.040350877,0.084347826,0.061702128,0.026760563,0.04,0.032727273,0.033333333,0.055555556,0.032978723,0.01875,0.03943662,0.071232877,0.051851852,0.036507937,0.045833333,0.065957447,0.035714286,0.036956522,0.028070175,0.025,0.02295082,0.010909091,0.02278481,0.030985915,0.034246575
Arabinose,3.608888889,3.160714286,2.096658711,2.813114754,1.707246377,22.76101695,3.649056604,3.005714286,4.096491228,1.706086957,4.914893617,1.678873239,2.708235294,1.487272727,3.046296296,2.180952381,1.686170213,2.1421875,2.347887324,1.542465753,2.511111111,2.752380952,5.954166667,3.827659574,12.14047619,3.206521739,3.789473684,4.113461538,3.360655738,3.483636364,3.160759494,1.5,1.857534247
Asparagine,0.16,0.548469388,0.099045346,0.101639344,0.052173913,0.061016949,0.067924528,0.051428571,0.198245614,0.040869565,0.138297872,0.032394366,0.064705882,0.041818182,0.135185185,0.150793651,0.055319149,0.059375,0.090140845,0.056164384,0.101851852,0.146031746,0.129166667,0.176595745,0.664285714,0.580434783,0.587719298,0.644230769,0.367213115,0.407272727,0.303797468,0.143661972,0.124657534
