,47.M.S.8,44.M.S.8,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,242.M.C.9,252.M.C.9,259.M.C.9,186.M.C.9,187.M.C.9,191.M.C.9,192.M.C.9,198.M.C.9,236.M.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,173.M.S.10,169.M.S.10,164.M.S.9,224.M.S.9,215.M.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10,12.M.S.9
,Mutant_Separate,Mutant_Separate,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.026722925,0.088983051,0.029545455,0.012037037,0.055932203,0.030232558,0.052830189,0.046428571,0.026315789,0.059677419,0.268421053,0.059016393,0.08245614,0.078125,0.0525,0.048148148,0.015116279,0.048484848,0.046774194,0.020454545,0.03,0.03880597,0.043333333,0.042307692,0.025714286,0.039240506,0.07,0.03125,0.071232877,0.061904762,0.063795853
4-Hydroxyphenylacetate,0.184247539,0.186440678,0.229545455,0.131481481,0.442372881,0.234883721,0.226415094,0.319642857,0.176315789,0.158064516,0.542105263,0.549180328,0.436842105,0.39375,0.2475,0.205555556,0.13372093,0.487878788,0.088709677,0.127272727,0.222,0.159701493,0.203333333,0.169230769,0.117142857,0.081012658,0.12,0.06125,0.134246575,0.142857143,0.132376396
5-Aminopentanoate,0.969057665,0.402542373,0.679545455,0.30462963,0.555932203,1.011627907,0.296226415,0.383928571,0.321052632,0.640322581,2.968421053,2.295081967,1.526315789,0.884375,0.51,0.472222222,0.675581395,1.909090909,0.598387097,0.185227273,0.878,0.540298507,1.615,0.825,0.247142857,0.791139241,0.45,0.1825,0.219178082,0.797619048,0.220095694
Acetate,18.91983122,20.77542373,36.62954545,27.98796296,20.52881356,26.65813953,36.81320755,33.26607143,66.51578947,19.39193548,24.56315789,18.69836066,15.85263158,38.7375,22.1575,23.27592593,33.01511628,48.59393939,14.91935484,26.98295455,43.782,29.34328358,16.345,64.66538462,54.63571429,16.26835443,51.155,23.7325,21.29315068,27.69285714,31.38277512
Adenine,2.244725738,1.256355932,1.827272727,3.509259259,0.96440678,1.193023256,2.316981132,6.226785714,4.094736842,1.39516129,2.136842105,1.503278689,0.950877193,1.346875,3.1575,5.612962963,4.372093023,1.284848485,0.464516129,3.675,5.86,3.994029851,1.153333333,8.730769231,4.841428571,0.544303797,1.295,2.625,0.649315068,1.073809524,6.381180223
Alanine,4.433192686,2.266949153,2.293181818,1.668518519,1.776271186,4.727906977,1.547169811,4.191071429,2.521052632,1.869354839,5.173684211,1.762295082,1.796491228,2.26875,4.39,3.35,2.115116279,3.036363636,1.380645161,1.148863636,3.54,2.150746269,2.451666667,5.871153846,2.234285714,0.946835443,1.62,0.99875,1.356164384,2.980952381,3.023923445
Alpha-ketoisovaleric acid,0.023909986,0.031779661,0.054545455,0.062962963,0.030508475,0.097674419,0.039622642,0.083928571,0.086842105,0.058064516,0.168421053,0.050819672,0.042105263,0.08125,0.12,0.137037037,0.091860465,0.048484848,0.008064516,0.029545455,0.1,0.041791045,0.05,0.046153846,0.024285714,0.012658228,0.025,0.01875,0.030136986,0.033333333,0.07814992
Arabinose,5.436005626,6.226694915,7.904545455,2,2.550847458,6.83255814,6.126415094,4.675,6.189473684,5.912903226,9.726315789,5.57704918,5.489473684,8.821875,7.01,2.853703704,1.327906977,6.690909091,7.333870968,2.634090909,4.162,5.446268657,6.335,4.584615385,2.187142857,4.62278481,4.12,1.03125,6.221917808,15.4452381,2.432216906
Asparagine,0.558368495,0.281779661,0.081818182,0.033333333,0.061016949,0.334883721,0.109433962,0.089285714,0.05,0.074193548,0.226315789,0.113114754,0.080701754,0.14375,0.4675,0.096296296,0.039534884,0.224242424,0.388709677,0.195454545,0.306,0.311940299,0.445,0.513461538,0.215714286,0.070886076,0.455,0.11375,0.147945205,0.414285714,0.200956938
Aspartate,1.873417722,1.252118644,1.359090909,1.101851852,1.674576271,2.695348837,0.869811321,2.132142857,1.460526316,1.029032258,3.842105263,1.091803279,0.977192982,1.1625,2.2325,1.625925926,1.287209302,1.724242424,0.622580645,0.776136364,1.534,1.840298507,1.748333333,3.125,1.224285714,0.556962025,2.585,0.7175,1.178082192,0.907142857,1.285486443
Beta-N-Acetylglucosamine,10.47257384,6.046610169,1.390909091,6.318518519,2.96779661,2.234883721,5.518867925,22.275,2.136842105,7.424193548,2.447368421,18.74590164,10.30175439,6.384375,7.8475,8.77962963,2.752325581,2.351515152,2.327419355,1.935227273,11.728,5.288059701,8.981666667,6.321153846,2.89,1.741772152,3.915,3.6475,2.356164384,6.930952381,10.53588517
Butyrate,5.030942335,2.75,7.027272727,4.992592593,1.581355932,2.174418605,5.749056604,6.1,6.489473684,1.703225806,1.905263158,1.82295082,1.514035088,2.803125,1.6125,4.014814815,5.669767442,7.136363636,1.562903226,7.763636364,9.114,4.011940299,1.5,11.33653846,10.48714286,1.116455696,2.47,7.21,1.252054795,3.092857143,4.578947368
Chenodeoxycholic acid,5.440225035,4.245762712,1.236363636,0.032407407,7.413559322,2.544186047,3.771698113,2.339285714,1.786842105,1.369354839,12.35789474,8.285245902,4.675438596,0.8125,2.3275,2.190740741,0.605813953,2.096969697,0.611290323,0.025,2.55,0.231343284,2.736666667,0.115384615,0.052857143,1.113924051,3.06,1.08375,2.515068493,0.576190476,1.572567783
Cholate,0.278481013,0.127118644,1.152272727,0.027777778,0.603389831,0.365116279,0.290566038,0.028571429,0.081578947,0.216129032,1.257894737,0.219672131,0.294736842,0.69375,0.4875,0.087037037,0.01744186,1.63030303,0.393548387,0.007954545,0.038,0.098507463,0.238333333,0.013461538,0.02,0.111392405,0.065,0.01,0.391780822,0.60952381,0.015948963
Choline,0.288326301,0.26059322,0.395454545,0.448148148,0.188135593,0.276744186,0.250943396,0.801785714,0.613157895,0.166129032,0.552631579,0.183606557,0.147368421,0.3,0.27,0.290740741,0.324418605,0.387878788,0.722580645,0.804545455,0.37,1.079104478,0.41,2.911538462,1.671428571,0.221518987,0.975,0.52125,0.479452055,0.838095238,0.894736842
Cytidine monophosphate,0.94374121,1.665254237,1.193181818,0.087962963,1.257627119,1.330232558,1.341509434,1.003571429,1,0.840322581,2.831578947,1.081967213,1.050877193,1.44375,1.7675,1.655555556,0.261627907,1.542424242,0.503225806,0.223863636,1.856,0.264179104,0.858333333,0.371153846,0.12,0.386075949,1.72,0.23375,0.942465753,0.785714286,0.622009569
D-Glucose,3.856540084,0.813559322,3.665909091,3.626851852,0.406779661,1.088372093,2.624528302,5.203571429,0.794736842,1.277419355,5.294736842,1.595081967,1.245614035,1.840625,3.35,1.783333333,0.934883721,5.275757576,2.269354839,3.7375,6.382,4.52238806,1.103333333,17.99807692,3.954285714,0.618987342,1.5,1.51375,2.060273973,6.473809524,2.49122807
Dimethylamine,0.009845288,0.014830508,0.009090909,0.006481481,0.006779661,0.009302326,0.003773585,0.007142857,0.007894737,0.020967742,0.031578947,0.021311475,0.015789474,0.015625,0.015,0.009259259,0.008139535,0.015151515,0.25,0.015909091,0.012,0.034328358,0.03,0.023076923,0.008571429,0.120253165,0.09,0.00375,0.008219178,0.088095238,0.023923445
Ferulate,0.167369902,0.186440678,0.477272727,0.07037037,0.250847458,0.544186047,0.239622642,0.148214286,0.365789474,0.303225806,0.768421053,0.350819672,0.215789474,0.421875,0.3375,0.198148148,0.069767442,0.551515152,0.369354839,0.060227273,0.096,0.101492537,0.165,0.061538462,0.074285714,0.121518987,0.36,0.04125,0.375342466,0.419047619,0.11323764
Formate,0.76511955,1.180084746,0.786363636,0.434259259,0.73559322,1.081395349,0.826415094,0.901785714,1.136842105,0.627419355,2.247368421,0.609836066,0.692982456,1.08125,0.8825,0.809259259,0.45,2.021212121,0.667741935,0.468181818,0.848,0.664179104,0.698333333,0.932692308,0.591428571,0.524050633,2.165,0.49875,1.139726027,1.166666667,1.141945774
Fucose,0.728551336,0.769067797,0.415909091,0.337962963,0.472881356,0.91627907,0.513207547,1.407142857,0.742105263,0.708064516,2.131578947,0.742622951,0.864912281,0.8375,0.81,0.609259259,0.215116279,1.015151515,0.430645161,0.102272727,0.722,0.464179104,0.86,0.480769231,0.18,0.316455696,1.21,0.14875,0.580821918,0.838095238,0.379585327
Fumarate,0.097046414,0.216101695,0.077272727,0.044444444,0.276271186,0.148837209,0.103773585,0.183928571,0.276315789,0.169354839,0.742105263,0.254098361,0.198245614,0.38125,0.0875,0.111111111,0.138372093,0.184848485,0.064516129,0.039772727,0.286,0.073134328,0.116666667,0.105769231,0.058571429,0.05443038,0.3,0.0375,0.065753425,0.061904762,0.172248804
