,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10,12.M.S.9
,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.026722925,0.088983051,0.064444444,0.068877551,0.034606205,0.059016393,0.048148148,0.015116279,0.048484848,0.046774194,0.020454545,0.03,0.128571429,0.03880597,0.043333333,0.042307692,0.054347826,0.071929825,0.130769231,0.031147541,0.058181818,0.053164557,0.030985915,0.025714286,0.039240506,0.07260274,0.07,0.03125,0.071232877,0.061904762,0.063795853
4-Hydroxyphenylacetate,0.184247539,0.186440678,0.411111111,0.43877551,0.106205251,0.163934426,0.205555556,0.13372093,0.487878788,0.088709677,0.127272727,0.222,0.35,0.159701493,0.203333333,0.169230769,0.35,0.254385965,0.353846154,0.432786885,0.229090909,0.110126582,0.123943662,0.117142857,0.081012658,0.182191781,0.12,0.06125,0.134246575,0.142857143,0.132376396
5-Aminopentanoate,0.969057665,0.402542373,0.584444444,4.033163265,0.094272076,0.150819672,0.472222222,0.675581395,1.909090909,0.598387097,0.185227273,0.878,2.907142857,0.540298507,1.615,0.825,1.813043478,1.866666667,1.425,2.416393443,1.945454545,0.284810127,0.277464789,0.247142857,0.791139241,0.342465753,0.45,0.1825,0.219178082,0.797619048,0.220095694
Acetate,18.91983122,20.77542373,45.3,40.11479592,29.68735084,55.40327869,23.27592593,33.01511628,48.59393939,14.91935484,26.98295455,43.782,20.81190476,29.34328358,16.345,64.66538462,31.86086957,21.90877193,49.44615385,26.41639344,20.52545455,21.58860759,40.81267606,54.63571429,16.26835443,32.05205479,51.155,23.7325,21.29315068,27.69285714,31.38277512
Adenine,2.244725738,1.256355932,1.942222222,1.594387755,2.137231504,4.803278689,5.612962963,4.372093023,1.284848485,0.464516129,3.675,5.86,1.238095238,3.994029851,1.153333333,8.730769231,0.82826087,0.796491228,1.963461538,2.196721311,0.445454545,1.262025316,2.508450704,4.841428571,0.544303797,2.146575342,1.295,2.625,0.649315068,1.073809524,6.381180223
Alanine,4.433192686,2.266949153,2.771111111,4.028061224,1.322195704,2.206557377,3.35,2.115116279,3.036363636,1.380645161,1.148863636,3.54,4.242857143,2.150746269,2.451666667,5.871153846,2.897826087,1.359649123,1.661538462,2.959016393,0.82,1.026582278,1.170422535,2.234285714,0.946835443,1.075342466,1.62,0.99875,1.356164384,2.980952381,3.023923445
Alpha-ketoisovaleric acid,0.023909986,0.031779661,0.022222222,0.025510204,0.005966587,0.018032787,0.137037037,0.091860465,0.048484848,0.008064516,0.029545455,0.1,0.035714286,0.041791045,0.05,0.046153846,0.036956522,0.028070175,0.025,0.02295082,0.010909091,0.02278481,0.030985915,0.024285714,0.012658228,0.034246575,0.025,0.01875,0.030136986,0.033333333,0.07814992
Arabinose,5.436005626,6.226694915,3.608888889,3.160714286,2.096658711,2.813114754,2.853703704,1.327906977,6.690909091,7.333870968,2.634090909,4.162,12.14047619,5.446268657,6.335,4.584615385,3.206521739,3.789473684,4.113461538,3.360655738,3.483636364,3.160759494,1.5,2.187142857,4.62278481,1.857534247,4.12,1.03125,6.221917808,15.4452381,2.432216906
Asparagine,0.558368495,0.281779661,0.16,0.548469388,0.099045346,0.101639344,0.096296296,0.039534884,0.224242424,0.388709677,0.195454545,0.306,0.664285714,0.311940299,0.445,0.513461538,0.580434783,0.587719298,0.644230769,0.367213115,0.407272727,0.303797468,0.143661972,0.215714286,0.070886076,0.124657534,0.455,0.11375,0.147945205,0.414285714,0.200956938
Aspartate,1.873417722,1.252118644,2.4,2.701530612,0.828162291,0.991803279,1.625925926,1.287209302,1.724242424,0.622580645,0.776136364,1.534,1.25,1.840298507,1.748333333,3.125,2.369565217,1.026315789,0.944230769,1.227868852,0.856363636,0.810126582,1.628169014,1.224285714,0.556962025,0.782191781,2.585,0.7175,1.178082192,0.907142857,1.285486443
Beta-N-Acetylglucosamine,10.47257384,6.046610169,3.335555556,2.290816327,2.330548926,2.650819672,8.77962963,2.752325581,2.351515152,2.327419355,1.935227273,11.728,6.957142857,5.288059701,8.981666667,6.321153846,5.586956522,7.689473684,10.33076923,20.36229508,1.738181818,4.75443038,6.174647887,2.89,1.741772152,3.389041096,3.915,3.6475,2.356164384,6.930952381,10.53588517
Butyrate,5.030942335,2.75,3.904444444,3.535714286,5.642004773,11.53606557,4.014814815,5.669767442,7.136363636,1.562903226,7.763636364,9.114,0.992857143,4.011940299,1.5,11.33653846,1.295652174,1.573684211,2.969230769,1.354098361,1.961818182,3.286075949,2.911267606,10.48714286,1.116455696,4.51369863,2.47,7.21,1.252054795,3.092857143,4.578947368
Chenodeoxycholic acid,5.440225035,4.245762712,1.502222222,2.926020408,0.787589499,0.918032787,2.190740741,0.605813953,2.096969697,0.611290323,0.025,2.55,9.316666667,0.231343284,2.736666667,0.115384615,4.208695652,3.094736842,2.328846154,1.693442623,1.432727273,0.958227848,3.035211268,0.052857143,1.113924051,0.328767123,3.06,1.08375,2.515068493,0.576190476,1.572567783
Cholate,0.278481013,0.127118644,0.626666667,1.540816327,0.020286396,0.019672131,0.087037037,0.01744186,1.63030303,0.393548387,0.007954545,0.038,2.578571429,0.098507463,0.238333333,0.013461538,0.597826087,0.221052632,0.061538462,0.119672131,0.441818182,0.302531646,0.050704225,0.02,0.111392405,0.090410959,0.065,0.01,0.391780822,0.60952381,0.015948963
