,1674a,1671,1650,1673,1655,1657,1778,1779,1664,1666a,1682a,1684,1670,1672a,1667,1668,1669a,1654a,1656,1776,1777,1663a,1681,1695,1694
,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,FD_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo,Control_6mo
2-Aminoisobutyric acid,2.04288E-05,4.82143E-05,2.76657E-05,7.32673E-05,2.48E-05,4.28571E-05,4.39604E-05,2.30769E-05,2.71186E-05,2.34528E-05,2.47021E-05,3.43891E-05,3.54037E-05,2.38267E-05,4.79087E-05,2.32E-05,2.3913E-05,0.00002025,3.49515E-05,3.65132E-05,2.11538E-05,2.0403E-05,1.2938E-05,4.96875E-05,1.72662E-05
4-Hydroxyphenylacetate,0.000108953,0.000145536,0.000146974,0.000209901,0.000144,0.000342857,0.000118812,0.000111966,0.000283898,6.12378E-05,0.000126111,0.000142986,0.000203106,0.000106137,0.000280608,0.0001568,0.000117391,0.00014775,0.000158946,0.000165789,0.000277885,0.000157179,0.000127763,0.000121875,0.000150216
5-Aminopentanoate,0.000134678,0.0004125,0.000226513,0.000473267,0.000268,0.001287302,0.00214099,0.000597436,0.000812712,9.05537E-05,0.000334128,0.000699548,0.000661491,0.000120578,0.001262738,0.0003272,0.000342029,0.00033825,0.002098752,0.000485526,0.001718269,0.000538791,0.000435849,0.00016125,0.000777842
Acetate,0.023497604,0.024472321,0.020569452,0.026685149,0.0133992,0.042287302,0.046728713,0.018183761,0.015581356,0.019970684,0.026092524,0.01418552,0.014313354,0.024844765,0.060093536,0.010708,0.013615217,0.01464,0.013032732,0.015204276,0.014327885,0.01673728,0.015325067,0.018661875,0.009627626
Adenine,0.003458512,0.003004464,0.004760231,0.002138614,0.0014712,0.002660317,0.000968317,0.001024786,0.000537288,0.002651466,0.000868472,0.000569231,0.000638199,0.001669314,0.00156616,0.0014912,7.82609E-05,0.00069525,0.001808322,0.001401316,0.000546154,0.000976322,0.001796765,0.000474375,0.000239137
Alanine,0.00217831,0.004719643,0.003306052,0.003653465,0.0026264,0.002944444,0.002264554,0.001517094,0.000729661,0.002082085,0.000852871,0.001386425,0.001116149,0.001421661,0.001788593,0.0010776,0.000407971,0.001596,0.001600277,0.001658882,0.001161538,0.001988917,0.001025337,0.000790313,0.000736403
Alpha-ketoisovaleric acid,1.51324E-05,0.0000375,3.37176E-05,4.35644E-05,1.36E-05,4.7619E-05,8.31683E-06,6.83761E-06,7.62712E-06,1.9544E-06,3.25027E-06,4.52489E-06,7.45342E-06,1.44404E-06,3.42205E-06,4E-06,3.62319E-06,0.00000375,1.08183E-05,6.90789E-06,5.76923E-06,3.77834E-06,3.2345E-06,2.8125E-06,3.45324E-06
Arabinose,0.001232535,0.002316071,0.001263977,0.00270495,0.0030584,0.004371429,0.001696634,0.003125641,0.001726271,0.000670358,0.000892524,0.002275113,0.002869565,0.0004787,0.000985551,0.0019328,0.001480435,0.00203475,0.001953121,0.002549013,0.0022375,0.002545088,0.001821833,0.0032175,0.002330072
Asparagine,5.82598E-05,0.000269643,5.10086E-05,8.91089E-05,8.56E-05,0.000203175,0.000190099,5.47009E-05,3.38983E-05,1.9544E-05,3.44529E-05,0.000111312,8.01242E-05,2.67148E-05,0.000131179,4.4E-05,4.42029E-05,0.00005625,5.49237E-05,0.000140132,4.13462E-05,0.000303023,4.12399E-05,0.0000525,3.45324E-05
Aspartate,0.000814124,0.002574107,0.000717579,0.001651485,0.0014352,0.001928571,0.001586139,0.000848718,0.00080678,0.000493811,0.000447887,0.000924887,0.000740683,0.000638267,0.000596578,0.0005312,0.000227536,0.00098925,0.000493481,0.001040132,0.001096154,0.000983879,0.000681671,0.000479063,0.000497266
Beta-N-Acetylglucosamine,0.003786129,0.007033036,0.01055879,0.006782178,0.0076856,0.005392063,0.001889109,0.004388034,0.002673729,0.004361564,0.000612351,0.003139367,0.003236646,0.000319134,0.002961217,0.0109984,0.002214493,0.007173,0.015228017,0.012331579,0.009194231,0.006625693,0.004347978,0.005783438,0.005980144
Butyrate,0.004133417,0.002541071,0.002596254,0.001112871,0.001708,0.001373016,0.000837624,0.000993162,0.000559322,0.002585668,0.001622535,0.000932127,0.000532919,0.001261372,0.002105703,0.0008456,0.000645652,0.00149475,0.002020527,0.001129934,0.000724038,0.00181738,0.001747439,0.001422188,0.00060259
Chenodeoxycholic acid,0.001482219,0.002429464,0.00192536,0.002790099,0.0007392,0.002961905,0.001638416,0.000786325,0.000877966,0.000574593,0.001160347,0.002112217,0.003487267,0.003812996,0.002891635,0.0029552,0.000584783,0.00097725,0.001809154,0.000940461,0.002191346,0.001088161,0.00212345,0.001414688,0.000661295
Cholate,1.74023E-05,6.16071E-05,1.98847E-05,0.000273267,0.0001952,0.000296825,0.000592871,9.57265E-05,6.86441E-05,1.9544E-06,3.25027E-05,0.000289593,0.000301863,0.000212996,0.000522433,0.0003416,9.92754E-05,0.000174,0.000251318,5.52632E-05,0.000294231,8.61461E-05,0.000108356,7.21875E-05,0.000329784
Choline,0.000447919,0.000239286,0.00044611,0.000235644,0.000168,4.28571E-05,0.000289901,0.000288034,0.000159322,0.000264495,0.000103359,0.000131222,0.000101553,0.000247653,0.000189354,0.0003504,0.000101449,0.00015,0.000138974,0.000104605,0.000240385,0.000143577,9.54178E-05,0.00013125,0.000169209
Cytidine monophosphate,8.92812E-05,4.28571E-05,7.26225E-05,0.000362376,0.0003304,0.000247619,2.25743E-05,4.61538E-05,0.000109322,1.49837E-05,3.44529E-05,0.00018009,7.91925E-05,8.59206E-05,4.44867E-05,2.48E-05,4.13043E-05,0.00012,8.73786E-05,3.25658E-05,0.000107692,0.00021461,7.19677E-05,0.000104063,0.000116547
D-Glucose,0.00218966,0.001074107,0.003302594,0.0008,0.0006584,0.000653968,0.000180594,0.000688034,0.000133051,0.000534853,5.65547E-05,0.000285973,8.75776E-05,0.000175451,0.000188213,0.0028968,0.000165942,0.00012075,0.000507628,0.000229934,6.92308E-05,0.001116121,0.000493261,0.000321563,0.000385036
Dimethylamine,4.53972E-06,3.57143E-06,2.59366E-06,5.94059E-06,1.6E-06,4.7619E-06,5.94059E-06,5.98291E-06,2.54237E-06,2.60586E-06,1.30011E-06,3.61991E-06,3.72671E-06,4.33213E-06,7.98479E-06,0.0000048,4.34783E-06,0.00000375,3.32871E-06,3.94737E-06,5.76923E-06,7.55668E-07,4.04313E-06,0.000005625,7.76978E-06
Ferulate,7.71753E-05,0.000229464,0.000100288,0.00040198,0.0001136,0.000495238,0.000331485,0.000205983,0.0001,6.84039E-05,0.000101408,0.000176471,0.000154658,7.07581E-05,0.000179087,0.000096,9.85507E-05,0.00012225,9.98613E-05,0.000106579,0.000149038,0.000166247,0.000108356,0.000174375,0.000207194
Formate,0.000460025,0.000557143,0.000593948,0.001619802,0.0004728,0.003519048,0.001328317,0.000769231,0.001,9.18567E-05,0.000887974,0.000831674,0.001118944,0.000838267,0.006412928,0.0008696,0.002236232,0.0004965,0.00050846,0.000662171,0.000677885,0.000508564,0.000588679,0.00098625,0.001222446
Fucose,0.000144515,0.000283036,0.000325072,0.000756436,0.0004256,0.001073016,0.000538218,0.000341026,0.00024322,0.000167427,0.000228169,0.000298643,0.000655901,0.000220217,0.000877186,0.0003968,0.000276087,0.000363,0.000555895,0.000584211,0.000683654,0.000367254,0.000215094,0.00040125,0.000414388
