ID,date,sex,genotype,mouse,time,r1,r2
m40.7.26,26-Jul,m,control,m840,0,m40-7-26_S193_L001_R1_001.fastq,m40-7-26_S193_L001_R2_001.fastq
m40.8.10,10-Aug,m,control,m840,15,m40-8-10_S209_L001_R1_001.fastq,m40-8-10_S209_L001_R2_001.fastq
m40.8.30,30-Aug,m,control,m840,25,m40-8-30_S225_L001_R1_001.fastq,m40-8-30_S225_L001_R2_001.fastq
m40.9.28,28-Sep,m,control,m840,54,m40-9-28_S257_L001_R1_001.fastq,m40-9-28_S257_L001_R2_001.fastq
m41.7.26,26-Jul,m,mutant,m841,0,m41-7-26_S194_L001_R1_001.fastq,m41-7-26_S194_L001_R2_001.fastq
m41.8.10,10-Aug,m,mutant,m841,15,m41-8-10_S210_L001_R1_001.fastq,m41-8-10_S210_L001_R2_001.fastq
m41.8.30,30-Aug,m,mutant,m841,25,m41-8-30_S226_L001_R1_001.fastq,m41-8-30_S226_L001_R2_001.fastq
m41.9.14,14-Sep,m,mutant,m841,40,m41-9-14_S242_L001_R1_001.fastq,m41-9-14_S242_L001_R2_001.fastq
m41.9.28,28-Sep,m,mutant,m841,54,m41-9-28_S258_L001_R1_001.fastq,m41-9-28_S258_L001_R2_001.fastq
m42.7.26,26-Jul,m,mutant,m842,0,m42-7-26_S198_L001_R1_001.fastq,m42-7-26_S198_L001_R2_001.fastq
m42.8.10,10-Aug,m,mutant,m842,15,m42-8-10_S214_L001_R1_001.fastq,m42-8-10_S214_L001_R2_001.fastq
m42.8.30,30-Aug,m,mutant,m842,25,m42-8-30_S230_L001_R1_001.fastq,m42-8-30_S230_L001_R2_001.fastq
m42.9.14,14-Sep,m,mutant,m842,40,m42-9-14_S246_L001_R1_001.fastq,m42-9-14_S246_L001_R2_001.fastq
m42.9.28,28-Sep,m,mutant,m842,54,m42-9-28_S262_L001_R1_001.fastq,m42-9-28_S262_L001_R2_001.fastq
m43.8.10,10-Aug,f,control,m843,15,m43-8-10_S211_L001_R1_001.fastq,m43-8-10_S211_L001_R2_001.fastq
m43.8.30,30-Aug,f,control,m843,25,m43-8-30_S227_L001_R1_001.fastq,m43-8-30_S227_L001_R2_001.fastq
m43.9.14,14-Sep,f,control,m843,40,m43-9-14_S243_L001_R1_001.fastq,m43-9-14_S243_L001_R2_001.fastq
m43.9.28,28-Sep,f,control,m843,54,m43-9-28_S259_L001_R1_001.fastq,m43-9-28_S259_L001_R2_001.fastq
m44.7.26,26-Jul,f,mutant,m844,0,m44-7-26_S196_L001_R1_001.fastq,m44-7-26_S196_L001_R2_001.fastq
m44.8.10,10-Aug,f,mutant,m844,15,m44-8-10_S212_L001_R1_001.fastq,m44-8-10_S212_L001_R2_001.fastq
m44.8.30,30-Aug,f,mutant,m844,25,m44-8-30_S228_L001_R1_001.fastq,m44-8-30_S228_L001_R2_001.fastq
m44.9.14,14-Sep,f,mutant,m844,40,m44-9-14_S244_L001_R1_001.fastq,m44-9-14_S244_L001_R2_001.fastq
m44.9.28,28-Sep,f,mutant,m844,54,m44-9-28_S260_L001_R1_001.fastq,m44-9-28_S260_L001_R2_001.fastq
m46.7.26,26-Jul,m,mutant,m846,0,m46-7-26_S201_L001_R1_001.fastq,m46-7-26_S201_L001_R2_001.fastq
m46.8.10,10-Aug,m,mutant,m846,15,m46-8-10_S217_L001_R1_001.fastq,m46-8-10_S217_L001_R2_001.fastq
m46.8.30,30-Aug,m,mutant,m846,25,m46-8-30_S233_L001_R1_001.fastq,m46-8-30_S233_L001_R2_001.fastq
m46.9.14,14-Sep,m,mutant,m846,40,m46-9-14_S249_L001_R1_001.fastq,m46-9-14_S249_L001_R2_001.fastq
m46.9.28,28-Sep,m,mutant,m846,54,m46-9-28_S265_L001_R1_001.fastq,m46-9-28_S265_L001_R2_001.fastq
m48.7.26,26-Jul,f,control,m848,0,m48-7-26_S199_L001_R1_001.fastq,m48-7-26_S199_L001_R2_001.fastq
m48.8.10,10-Aug,f,control,m848,15,m48-8-10_S215_L001_R1_001.fastq,m48-8-10_S215_L001_R2_001.fastq
m48.8.30,30-Aug,f,control,m848,25,m48-8-30_S231_L001_R1_001.fastq,m48-8-30_S231_L001_R2_001.fastq
m48.9.14,14-Sep,f,control,m848,40,m48-9-14_S247_L001_R1_001.fastq,m48-9-14_S247_L001_R2_001.fastq
m48.9.28,28-Sep,f,control,m848,54,m48-9-28_S263_L001_R1_001.fastq,m48-9-28_S263_L001_R2_001.fastq
m49.7.26,26-Jul,f,control,m849,0,m49-7-26_S202_L001_R1_001.fastq,m49-7-26_S202_L001_R2_001.fastq
m49.8.10,10-Aug,f,control,m849,15,m49-8-10_S218_L001_R1_001.fastq,m49-8-10_S218_L001_R2_001.fastq
m49.8.30,30-Aug,f,control,m849,25,m49-8-30_S234_L001_R1_001.fastq,m49-8-30_S234_L001_R2_001.fastq
m49.9.14,14-Sep,f,control,m849,40,m49-9-14_S250_L001_R1_001.fastq,m49-9-14_S250_L001_R2_001.fastq
m49.9.28,28-Sep,f,control,m849,54,m49-9-28_S266_L001_R1_001.fastq,m49-9-28_S266_L001_R2_001.fastq
m50.7.26,26-Jul,m,mutant,m850,0,m50-7-26_S204_L001_R1_001.fastq,m50-7-26_S204_L001_R2_001.fastq
