"","Kingdom","King.conf","Phylum","Phy.conf","Class","Class.conf","Order","Order.conf","family","fam.conf","genus","gen.conf"
"1","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"2","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"3","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"4","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Faecalibacterium","100"
"5","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Anaerostipes","100"
"6","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"7","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Bifidobacteriales","100","Bifidobacteriaceae","100","Bifidobacterium","100"
"8","Bacteria","100","Verrucomicrobia","100","Verrucomicrobiae","100","Verrucomicrobiales","100","Verrucomicrobiaceae","100","Akkermansia","100"
"9","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Roseburia","98"
"10","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"11","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"12","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Rikenellaceae","100","Alistipes","100"
"13","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Parabacteroides","100"
"14","Bacteria","100","Actinobacteria","100","Actinobacteria","100","Coriobacteriales","100","Coriobacteriaceae","100","Collinsella","100"
"15","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","68"
"16","Bacteria","100","Firmicutes","100","Negativicutes","100","Selenomonadales","100","Acidaminococcaceae","100","Phascolarctobacterium","100"
"17","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Parabacteroides","100"
"18","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Fusicatenibacter","100"
"19","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","97"
"20","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"21","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Peptostreptococcaceae","100","Intestinibacter","53"
"22","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"23","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","94"
"24","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"25","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Enterobacteriales","100","Enterobacteriaceae","100","Escherichia/Shigella","99"
"26","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"27","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"28","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","51"
"29","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Prevotella","100"
"30","Bacteria","100","Firmicutes","100","Bacilli","100","Lactobacillales","100","Streptococcaceae","100","Streptococcus","100"
"31","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","98"
"32","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Parasutterella","100"
"33","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","96"
"34","Bacteria","100","Firmicutes","100","Negativicutes","100","Selenomonadales","100","Veillonellaceae","100","Dialister","100"
"35","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Erysipelotrichaceae_unclassified","100"
"36","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Barnesiella","100"
"37","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Clostridium_XlVa","100"
"38","Bacteria","100","Proteobacteria","100","Gammaproteobacteria","100","Enterobacteriales","100","Enterobacteriaceae","100","Enterobacteriaceae_unclassified","100"
"39","Bacteria","100","Firmicutes","100","Negativicutes","100","Selenomonadales","100","Veillonellaceae","100","Megasphaera","100"
"40","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","51"
"41","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"42","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Ruminococcus2","98"
"43","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Porphyromonadaceae","100","Odoribacter","100"
"44","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Paraprevotella","100"
"45","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcus","100"
"46","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Ruminococcaceae_unclassified","100"
"47","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Dorea","100"
"48","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Ruminococcus2","60"
"49","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"50","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Clostridium_XlVa","54"
"51","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Roseburia","100"
"52","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"53","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Clostridium_XlVa","87"
"54","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Eisenbergiella","87"
"55","Bacteria","100","Firmicutes","100","Erysipelotrichia","100","Erysipelotrichales","100","Erysipelotrichaceae","100","Catenibacterium","92"
"56","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Bacteroidaceae","100","Bacteroides","100"
"57","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Blautia","100"
"58","Bacteria","100","Firmicutes","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100","Firmicutes_unclassified","100"
"59","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Lachnospiraceae","100","Lachnospiraceae_unclassified","100"
"60","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Flavonifractor","100"
"61","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Oscillibacter","100"
"62","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Ruminococcaceae","100","Subdoligranulum","100"
"63","Bacteria","100","Firmicutes","100","Negativicutes","100","Selenomonadales","100","Acidaminococcaceae","100","Acidaminococcus","100"
"64","Bacteria","100","Fusobacteria","100","Fusobacteriia","100","Fusobacteriales","100","Fusobacteriaceae","100","Fusobacterium","100"
"65","Bacteria","100","Bacteroidetes","100","Bacteroidia","100","Bacteroidales","100","Prevotellaceae","100","Prevotella","100"
"66","Bacteria","100","Proteobacteria","100","Deltaproteobacteria","100","Desulfovibrionales","100","Desulfovibrionaceae","100","Bilophila","100"
"67","Bacteria","100","Firmicutes","100","Clostridia","100","Clostridiales","100","Clostridiales_unclassified","100","Clostridiales_unclassified","100"
"68","Bacteria","100","Firmicutes","100","Bacilli","100","Lactobacillales","100","Lactobacillaceae","100","Lactobacillus","100"
"69","Bacteria","100","Proteobacteria","100","Betaproteobacteria","100","Burkholderiales","100","Sutterellaceae","100","Sutterella","100"
