"","Otu0001","Otu0002","Otu0003","Otu0004","Otu0005","Otu0006","Otu0007","Otu0008","Otu0009","Otu0010","Otu0011","Otu0012","Otu0013","Otu0014","Otu0015","Otu0016","Otu0017","Otu0018","Otu0019","Otu0020","Otu0021","Otu0022","Otu0023","Otu0024","Otu0025","Otu0026","Otu0027","Otu0028","Otu0029","Otu0030","Otu0031","Otu0032","Otu0033","Otu0034","Otu0035","Otu0036","Otu0037","Otu0038","Otu0039","Otu0040","Otu0041","Otu0042","Otu0043","Otu0044","Otu0045","Otu0046","Otu0047","Otu0048","Otu0049","Otu0050","Otu0051","Otu0052","Otu0053","Otu0054","Otu0055","Otu0056","Otu0057","Otu0058","Otu0059","Otu0060","Otu0061","Otu0062","Otu0063","Otu0064","Otu0065","Otu0066","Otu0067","Otu0068","Otu0069","Otu0070","Otu0071","Otu0072","Otu0073","Otu0074","Otu0075","Otu0076","Otu0077","Otu0078","Otu0079","Otu0080","Otu0081","Otu0082","Otu0083","Otu0084","Otu0085","Otu0086","Otu0087","Otu0088","Otu0089","Otu0090","Otu0091","Otu0092","Otu0093","Otu0094","Otu0095","Otu0096","Otu0097","Otu0098","Otu0099","Otu0100","Otu0101","Otu0102","Otu0103","Otu0104","Otu0105","Otu0106","Otu0107","Otu0108","Otu0109","Otu0110","Otu0111","Otu0112","Otu0113","Otu0114","Otu0115","Otu0116","Otu0117","Otu0118","Otu0119","Otu0120","Otu0121","Otu0122","Otu0123","Otu0124","Otu0125","Otu0126","Otu0127","Otu0128","Otu0129","Otu0130","Otu0131","Otu0132","Otu0133","Otu0134","Otu0135","Otu0136","Otu0137","Otu0138","Otu0139","Otu0140","Otu0141","Otu0142","Otu0143","Otu0144","Otu0145","Otu0146","Otu0147","Otu0148","Otu0149","Otu0150","Otu0151","Otu0152","Otu0153","Otu0154","Otu0155","Otu0156","Otu0157","Otu0158","Otu0159","Otu0160","Otu0161","Otu0162","Otu0163","Otu0164","Otu0165","Otu0166","Otu0167","Otu0168","Otu0169","Otu0170","Otu0171","Otu0172","Otu0173","Otu0174","Otu0175","Otu0176","Otu0177","Otu0178","Otu0179","Otu0180","Otu0181","Otu0182","Otu0183","Otu0184","Otu0185","Otu0186","Otu0187","Otu0188","Otu0189","Otu0190","Otu0191","Otu0192","Otu0193","Otu0194","Otu0195","Otu0196","Otu0197","Otu0198","Otu0199","Otu0200","Otu0201","Otu0202","Otu0203","Otu0204","Otu0205","Otu0206","Otu0207","Otu0208","Otu0209","Otu0210","Otu0211","Otu0212","Otu0213","Otu0214","Otu0215","Otu0216","Otu0217","Otu0218","Otu0219","Otu0220","Otu0221","Otu0222","Otu0223","Otu0224","Otu0225","Otu0226","Otu0227","Otu0228","Otu0229","Otu0230","Otu0231","Otu0232","Otu0233","Otu0234","Otu0235","Otu0236","Otu0237","Otu0238","Otu0239","Otu0240","Otu0241","Otu0242","Otu0243","Otu0244","Otu0245","Otu0246","Otu0247","Otu0248","Otu0249","Otu0250","Otu0251","Otu0252","Otu0253","Otu0254","Otu0255","Otu0256","Otu0257","Otu0258","Otu0259","Otu0260","Otu0261","Otu0262","Otu0263","Otu0264","Otu0265","Otu0266","Otu0267","Otu0268","Otu0269","Otu0270","Otu0271","Otu0272","Otu0273","Otu0274","Otu0275","Otu0276","Otu0277","Otu0278","Otu0279","Otu0280","Otu0281","Otu0282","Otu0283","Otu0284","Otu0285","Otu0286","Otu0287","Otu0288","Otu0289","Otu0290","Otu0291","Otu0292","Otu0293","Otu0294","Otu0295","Otu0296","Otu0297","Otu0298","Otu0299","Otu0300","Otu0301","Otu0302","Otu0303","Otu0304","Otu0305","Otu0306","Otu0307","Otu0308","Otu0309","Otu0310","Otu0311","Otu0312","Otu0313","Otu0314","Otu0315","Otu0316","Otu0317","Otu0318","Otu0319","Otu0320","Otu0321","Otu0322","Otu0323","Otu0324","Otu0325","Otu0326","Otu0327","Otu0328","Otu0329","Otu0330","Otu0331","Otu0332","Otu0333","Otu0334","Otu0335","Otu0336","Otu0337","Otu0338","Otu0339","Otu0340","Otu0341","Otu0342","Otu0343","Otu0344","Otu0345","Otu0346","Otu0347","Otu0348","Otu0349","Otu0350","Otu0351","Otu0352","Otu0353","Otu0354","Otu0355","Otu0356","Otu0357","Otu0358","Otu0359","Otu0360","Otu0361","Otu0362","Otu0363","Otu0364","Otu0365","Otu0366","Otu0367","Otu0368","Otu0369","Otu0370","Otu0371","Otu0372","Otu0373","Otu0374","Otu0375","Otu0376","Otu0377","Otu0378","Otu0379","Otu0380","Otu0381","Otu0382","Otu0383","Otu0384","Otu0385","Otu0386","Otu0387","Otu0388","Otu0389","Otu0390","Otu0391","Otu0392","Otu0393","Otu0394","Otu0395","Otu0396","Otu0397","Otu0398","Otu0399","Otu0400","Otu0401","Otu0402","Otu0403","Otu0404","Otu0405","Otu0406","Otu0407"
"X12.M.S.10",1115,78,7,356,42,131,240,21,0,139,12,193,44,39,165,61,156,445,95,17,146,101,5,69,67,17,49,34,112,13,12,1,0,50,0,0,125,54,30,2,107,12,15,9,26,29,0,30,32,12,42,26,22,1,1,1,55,15,28,22,7,1,5,1,2,38,12,0,15,7,17,0,7,2,5,0,1,10,7,7,1,2,48,1,50,0,10,5,1,0,2,0,1,9,0,6,17,1,3,1,4,1,8,0,2,35,0,0,1,1,1,0,16,0,17,19,0,14,1,2,0,0,3,0,2,0,4,0,0,0,3,2,4,8,1,0,0,2,0,5,0,1,4,0,4,0,3,0,1,1,6,0,0,0,0,0,5,1,0,0,0,2,0,1,0,0,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,0,2,0,5,1,1,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"X12.M.S.11",1000,82,50,324,27,74,131,91,15,66,121,246,245,49,97,18,52,171,111,58,34,64,56,52,30,56,36,25,75,11,131,9,2,102,0,5,65,40,66,5,52,27,24,11,53,13,36,13,8,16,27,39,23,2,23,0,36,6,19,26,2,7,9,15,19,25,4,8,13,18,17,0,7,8,28,4,4,17,9,2,12,6,21,28,21,9,6,0,10,8,1,0,35,11,5,4,12,0,0,4,28,47,0,12,7,8,1,0,26,0,15,1,7,0,15,11,3,17,0,28,0,2,2,4,0,0,17,5,3,7,9,0,6,3,1,10,5,4,2,3,1,0,8,4,4,0,1,0,1,3,4,0,0,4,5,3,0,3,0,16,4,4,0,0,0,0,0,1,0,1,0,5,0,2,7,0,2,0,2,2,0,0,0,2,0,2,2,1,1,6,0,0,4,0,5,0,0,14,3,1,5,0,3,1,0,0,0,1,0,5,2,0,9,3,0,1,1,0,1,2,0,0,0,0,0,0,1,11,0,0,5,3,1,0,0,0,1,0,0,0,6,1,0,1,2,0,0,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,3,2,1,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,1,2,1,0,1,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"X12.M.S.7",874,371,20,382,57,153,170,293,123,120,77,125,38,49,53,147,181,0,109,61,20,71,12,64,74,38,42,72,89,37,37,16,5,45,0,3,1,44,9,1,66,12,74,8,49,41,27,5,11,31,39,49,3,1,0,7,30,23,37,0,2,10,4,8,8,11,13,11,7,0,25,0,9,9,24,1,0,11,12,9,8,3,22,0,9,2,9,5,1,3,0,0,3,3,1,19,52,7,4,6,64,6,7,6,2,0,1,0,0,27,3,2,3,0,14,4,1,1,0,6,1,1,6,3,0,1,5,0,4,2,5,2,11,14,1,1,0,12,0,1,1,0,10,2,0,0,2,2,1,11,4,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,0,3,4,0,1,1,0,3,1,11,0,0,0,0,13,1,4,1,0,1,1,1,5,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,2,2,3,0,1,0,0,0,7,0,0,2,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X12.M.S.9",1354,214,40,351,71,21,335,15,49,60,20,159,77,90,98,44,73,161,151,55,132,27,14,142,45,75,22,28,123,10,17,31,0,78,0,1,1,17,41,0,53,13,6,2,35,59,6,12,7,6,64,9,2,2,1,0,12,13,9,0,4,6,11,3,12,26,11,2,16,14,5,0,12,3,24,1,0,5,9,1,1,2,40,0,7,5,10,9,2,0,0,0,6,6,5,4,96,4,1,7,108,8,7,3,1,21,0,0,2,4,3,0,4,0,7,11,1,3,1,5,0,0,4,1,0,1,5,0,2,3,0,2,22,2,0,3,0,0,0,2,1,0,10,7,2,0,1,0,2,3,3,0,0,0,0,2,9,0,0,4,1,2,0,2,0,2,0,0,2,0,1,5,0,1,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,2,3,1,0,0,2,0,5,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,1,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"X146.M.S.11",467,497,99,82,63,1,94,163,251,114,170,2,27,139,28,30,9,0,61,98,25,9,123,25,39,51,17,39,0,0,76,156,31,88,0,17,34,7,18,2,20,2,21,2,51,24,0,33,11,6,19,13,25,24,67,147,3,13,2,0,27,166,40,42,56,11,0,67,6,1,9,3,14,26,6,46,22,43,10,12,6,18,11,12,5,10,13,6,12,11,1,0,6,2,19,0,4,0,5,23,0,6,1,26,11,0,2,0,44,79,2,25,6,0,6,5,1,35,4,3,13,18,4,12,1,26,9,24,2,13,2,5,0,4,14,0,0,0,8,2,8,2,0,4,2,10,6,0,10,4,0,17,0,9,3,10,3,12,0,3,4,0,0,8,0,0,5,2,6,4,4,0,4,3,3,6,2,0,0,0,0,4,4,4,6,5,3,1,2,10,1,28,0,2,0,2,3,0,5,2,0,1,1,3,0,11,3,1,1,1,0,0,5,1,1,3,11,4,0,1,4,3,6,0,1,0,1,10,0,9,0,1,2,14,10,1,2,9,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,16,3,2,2,0,1,0,3,0,1,3,0,0,0,0,1,4,0,1,0,9,0,0,11,1,0,2,1,0,1,2,5,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,3,2,0,0,0,1,1,0,4,0,0,0,0,0,4,0,0,0,2,1,0,1,7,0,0,0,0,0,0,0,6,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"X159.M.S.10",1029,156,307,810,52,2,60,16,34,139,59,7,17,88,31,0,8,51,73,278,28,29,88,46,42,184,5,24,51,0,83,0,25,1,0,99,5,23,36,13,14,9,15,3,36,3,0,4,2,2,3,6,31,34,37,27,3,1,4,79,30,22,6,9,31,3,9,18,16,19,2,8,26,22,0,10,10,1,32,2,7,1,0,29,7,32,5,0,37,36,0,0,10,0,37,15,2,0,0,10,0,3,4,5,16,0,9,0,20,0,35,1,5,0,1,1,6,1,12,2,6,3,1,0,0,1,1,6,7,4,6,0,0,2,6,7,0,0,0,2,3,8,4,4,0,3,3,0,2,0,0,2,0,0,6,6,6,5,0,6,8,11,0,0,0,0,2,1,1,0,0,0,0,1,5,0,8,0,1,11,0,0,1,5,6,0,0,0,0,0,1,0,8,2,0,0,0,0,3,0,3,7,0,2,4,2,1,0,0,1,0,0,2,1,3,2,0,0,1,0,29,16,5,0,2,0,0,2,2,1,3,0,0,0,0,1,0,6,0,0,3,0,0,1,0,4,0,0,0,1,1,2,0,1,0,0,0,4,0,0,1,29,1,0,0,1,0,0,1,0,1,0,0,2,8,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3
"X1650.M.S.3",1190,682,166,4,162,69,52,94,0,26,101,50,19,57,81,43,166,20,28,1,1,169,18,208,182,9,135,59,33,32,7,28,6,11,0,21,91,69,3,2,52,5,9,8,9,60,0,24,19,70,6,66,16,2,0,52,48,61,35,0,7,13,4,10,7,7,13,13,13,2,69,0,7,12,10,6,1,13,7,26,2,17,0,0,11,8,41,5,3,2,2,4,0,8,2,3,7,0,0,0,0,2,7,1,0,0,1,0,6,1,0,1,13,0,11,6,3,6,0,2,1,1,6,13,0,12,2,0,2,0,11,0,2,1,1,0,0,0,4,13,3,0,0,5,0,2,6,0,4,0,14,3,0,0,0,2,6,0,0,1,0,1,0,4,0,0,0,8,0,0,1,0,0,14,2,7,0,0,0,0,0,2,6,0,0,0,0,3,5,0,0,1,0,0,0,5,2,0,1,0,0,0,3,0,1,1,0,6,5,1,2,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,1,0,0,0,0,3,6,0,4,5,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1650.M.S.6",626,397,156,12,98,11,6,56,0,6,614,48,28,158,54,21,65,12,5,96,25,93,68,157,51,46,94,28,5,6,42,75,17,91,0,41,106,39,71,36,51,9,32,36,13,11,0,16,52,25,20,39,61,6,0,100,11,9,27,0,45,9,27,22,40,26,0,17,73,16,32,14,9,29,8,24,5,7,8,17,9,20,3,0,20,21,12,5,12,0,0,0,5,12,1,7,6,0,1,10,0,109,3,15,1,0,1,8,15,0,4,2,16,26,17,13,2,7,28,0,0,7,1,17,0,8,5,1,0,6,6,0,3,0,1,0,0,4,3,7,6,1,5,9,24,12,7,3,4,10,10,12,0,4,8,1,16,0,0,7,3,3,0,3,0,0,2,4,0,3,3,0,2,4,0,2,2,3,3,0,0,2,2,7,2,0,1,3,0,0,3,5,0,3,1,0,2,0,2,1,8,0,0,0,1,2,1,3,0,1,0,0,1,1,2,1,0,4,0,1,0,1,0,1,0,0,0,13,1,0,0,0,2,1,0,2,0,0,5,0,4,1,0,0,4,0,1,0,1,0,2,1,0,1,1,0,4,1,0,0,0,0,0,2,1,0,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1654.C.S.3",968,439,527,3,36,2,8,156,0,40,1,101,278,44,96,13,42,0,3,0,10,13,54,1,97,87,9,48,0,31,1,0,0,11,0,182,18,0,41,108,1,108,0,123,5,136,23,52,23,31,1,19,26,40,0,0,32,40,23,0,5,0,22,33,39,8,1,41,31,0,3,41,4,15,39,42,8,6,15,10,2,12,1,0,8,14,3,19,16,0,0,173,4,8,5,10,14,20,0,2,0,6,0,15,3,0,2,27,11,4,16,0,0,0,6,1,21,13,0,1,1,0,2,4,0,4,0,5,4,5,8,3,0,0,0,0,2,1,0,1,8,0,0,0,0,2,7,2,0,2,0,4,0,4,3,1,0,5,0,0,3,2,0,0,0,0,0,0,5,6,3,0,3,0,3,0,3,0,35,0,0,1,2,6,0,0,3,53,2,3,3,0,0,2,0,1,1,0,3,4,0,1,0,3,0,2,1,1,0,0,0,4,1,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,15,0,0,3,0,0,14,5,2,0,0,0,1,0,0,1,0,23,0,1,0,0,0,0,0,1,1,1,5,1,0,0,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1655.M.S.3",1094,408,313,40,373,8,59,749,0,11,0,18,29,20,160,8,66,60,7,7,3,46,13,23,55,60,53,16,35,47,4,0,0,58,0,142,17,111,61,0,8,12,24,0,1,67,50,34,56,80,1,32,6,0,0,0,15,28,49,0,2,6,2,13,5,4,0,5,12,0,19,1,13,8,27,0,4,8,5,14,2,7,0,0,11,12,1,27,3,0,0,0,1,35,0,5,9,1,0,1,0,10,3,3,0,0,12,0,2,0,0,0,13,0,12,5,6,2,0,1,3,0,2,6,0,1,0,1,1,2,1,0,3,8,0,1,0,18,1,9,0,0,0,2,0,0,7,0,4,1,0,0,0,1,1,2,0,0,0,2,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,6,0,0,4,3,0,0,0,0,0,1,1,0,0,4,2,0,2,11,0,0,1,0,1,0,1,0,0,0,2,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,1,1,1,2,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,33,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
