"","Experiment.Accession","Experiment.Title","Organism.Name","Instrument","Submitter","Study.Accession","Study.Title","Sample.Accession","Sample.Title","Total.Size..Mb","Total.RUNs","Total.Spots","Total.Bases","Library.Name","Library.Strategy","Library.Source","Library.Selection","donor"
"215","SRX5013838","p1_18","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047706",NA,7.69,1,27703,13897088,"p1_18","AMPLICON","METAGENOMIC","PCR","p1"
"201","SRX5013852","p1_20","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047720",NA,6.77,1,21148,10607162,"p1_20","AMPLICON","METAGENOMIC","PCR","p1"
"95","SRX5013963","p1_24","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047831",NA,5.15,1,18263,9158203,"p1_24","AMPLICON","METAGENOMIC","PCR","p1"
"93","SRX5013965","p1_25","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047833",NA,6.96,1,24916,12494700,"p1_25","AMPLICON","METAGENOMIC","PCR","p1"
"125","SRX5013933","p1_26","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047801",NA,5.9,1,20824,10446761,"p1_26","AMPLICON","METAGENOMIC","PCR","p1"
"139","SRX5013919","p1_38","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047787",NA,7.58,1,27306,13695548,"p1_38","AMPLICON","METAGENOMIC","PCR","p1"
"260","SRX5013791","p1_53","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047659",NA,8.32,1,30662,15384446,"p1_53","AMPLICON","METAGENOMIC","PCR","p1"
"281","SRX5013768","p1_55","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047636",NA,8.59,1,27292,13688733,"p1_55","AMPLICON","METAGENOMIC","PCR","p1"
"143","SRX5013915","p1_71","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047783",NA,11.81,1,36586,18347780,"p1_71","AMPLICON","METAGENOMIC","PCR","p1"
"288","SRX5013760","p1_82","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047628",NA,11.55,1,36878,18499702,"p1_82","AMPLICON","METAGENOMIC","PCR","p1"
"44","SRX5014020","p2_03","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047888",NA,5.08,1,18430,9245983,"p2_03","AMPLICON","METAGENOMIC","PCR","p2"
"175","SRX5013878","p2_05","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047746",NA,3.81,1,13649,6845519,"p2_05","AMPLICON","METAGENOMIC","PCR","p2"
"287","SRX5013762","p2_23","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047630",NA,12.35,1,38536,19328174,"p2_23","AMPLICON","METAGENOMIC","PCR","p2"
"245","SRX5013807","p2_29","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047675",NA,13.3,1,41566,20846096,"p2_29","AMPLICON","METAGENOMIC","PCR","p2"
"236","SRX5013816","p2_31","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047684",NA,5,1,15643,7846148,"p2_31","AMPLICON","METAGENOMIC","PCR","p2"
"67","SRX5013993","p2_32","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047861",NA,14.86,1,45817,22983244,"p2_32","AMPLICON","METAGENOMIC","PCR","p2"
"153","SRX5013902","p2_35","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047770",NA,6.79,1,25151,12618216,"p2_35","AMPLICON","METAGENOMIC","PCR","p2"
"64","SRX5013998","p2_40","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047866",NA,10.2,1,31083,15590578,"p2_40","AMPLICON","METAGENOMIC","PCR","p2"
"311","SRX5013737","p2_41","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047605",NA,6,1,22187,11130466,"p2_41","AMPLICON","METAGENOMIC","PCR","p2"
"313","SRX5013735","p2_49","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047603",NA,17.72,1,55653,27911498,"p2_49","AMPLICON","METAGENOMIC","PCR","p2"
"77","SRX5013982","p3_02","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047850",NA,6.2,1,21959,11015246,"p3_02","AMPLICON","METAGENOMIC","PCR","p3"
"3","SRX5014066","p3_04","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047934",NA,16.53,1,51895,26026730,"p3_04","AMPLICON","METAGENOMIC","PCR","p3"
"305","SRX5013743","p3_05","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047611",NA,5.28,1,18935,9498592,"p3_05","AMPLICON","METAGENOMIC","PCR","p3"
"302","SRX5013746","p3_07","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047614",NA,3.54,1,12878,6458859,"p3_07","AMPLICON","METAGENOMIC","PCR","p3"
"310","SRX5013738","p3_09","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047606",NA,6.67,1,24213,12145733,"p3_09","AMPLICON","METAGENOMIC","PCR","p3"
"293","SRX5013755","p3_11","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047623",NA,5.74,1,20613,10338904,"p3_11","AMPLICON","METAGENOMIC","PCR","p3"
"294","SRX5013754","p3_12","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047622",NA,7.49,1,27619,13856901,"p3_12","AMPLICON","METAGENOMIC","PCR","p3"
"266","SRX5013785","p3_16","human gut metagenome","Illumina MiSeq","Montana State University","SRP168929","Temporal dynamics of Enterobacteriaceaein healthy human adults","SRS4047653",NA,5.51,1,19689,9877206,"p3_16","AMPLICON","METAGENOMIC","PCR","p3"
