"","","sample.id","Genotype","","","MDS1","MDS2","","m840.c.0","m841.m.0","m842.m.0","m844.m.0","m846.m.0","m848.c.0","m849.c.0","m850.m.0","m866.c.0","m867.m.0","m868.m.0","m869.c.0","m870.m.0","m871.m.0","m872.m.0"
"Figure 3a","Day 0","m840.c.0","control","","NMDS points","-0.413467232805352","Bray-Curtis Dissimilarity between samples","m840.c.0","","","","","","","","","","","","","","",""
"","","m841.m.0","mutant","","","-0.404411585986136","-0.138570720133572","m841.m.0","0.29276563677468","","","","","","","","","","","","","",""
"","","m842.m.0","mutant","","","-0.39159554685125","0.00460599329135461","m842.m.0","0.421627731725697","0.316314996232102","","","","","","","","","","","","",""
"","","m844.m.0","mutant","","","-0.530611675266519","-0.187242145262922","m844.m.0","0.412961567445365","0.321778447626225","0.387528259231349","","","","","","","","","","","",""
"","","m846.m.0","mutant","","","0.449554204039883","0.0157410797350072","m846.m.0","0.645629238884702","0.603993971363979","0.589675960813866","0.698379804069329","","","","","","","","","","",""
"","","m848.c.0","control","","","-0.452698902095727","-0.16071027792124","m848.c.0","0.365297663903542","0.326865109269028","0.364167294649586","0.317822155237378","0.610022607385079","","","","","","","","","",""
"","","m849.c.0","control","","","-0.357542780588443","-0.103370710083721","m849.c.0","0.393933685003768","0.320648078372268","0.352486812358704","0.339110776186888","0.591183119819141","0.261680482290882","","","","","","","","",""
"","","m850.m.0","mutant","","","0.333203123582679","-0.553679353132045","m850.m.0","0.582140165787491","0.577618688771665","0.636963074604371","0.674642049736247","0.535983421250942","0.679163526752072","0.607950263752826","","","","","","","",""
"","","m866.c.0","control","","","0.129886491702553","0.787006061939863","m866.c.0","0.744913338357197","0.702147701582517","0.703466465712133","0.759796533534288","0.582516955538809","0.67991710625471","0.67690278824416","0.636021100226074","","","","","","",""
"","","m867.m.0","mutant","","","-0.296146755408391","0.360367830927588","m867.m.0","0.583835719668425","0.510173323285607","0.431612660135644","0.541446872645064","0.563865862848531","0.52731725697061","0.491710625470987","0.648266767143934","0.53051996985682","","","","","",""
"","","m868.m.0","mutant","","","0.602178827166691","-0.154421750946041","m868.m.0","0.66767143933685","0.654107008289375","0.624529012810851","0.685380557648832","0.408251695553881","0.668990203466466","0.644122079879427","0.499623210248681","0.697814619442351","0.702712886209495","","","","",""
"","","m869.c.0","control","","","-0.231236986325783","0.465005504352871","m869.c.0","0.620761115297664","0.53673700075358","0.454596834966089","0.585719668425019","0.616428033157498","0.569140919366993","0.517332328560663","0.69517709118312","0.54559155990957","0.360022607385079","0.717030896759608","","","",""
"","","m870.m.0","mutant","","","0.450584449010812","0.173437090760486","m870.m.0","0.660135644310475","0.602863602110023","0.595704596834966","0.690278824415976","0.419932177844763","0.59758854559156","0.564242652599849","0.554634513941221","0.604935945742276","0.607196684250188","0.461002260738508","0.60983421250942","","",""
"","","m871.m.0","mutant","","","0.552731896017208","0.0440762239087702","m871.m.0","0.701582516955539","0.661266013564431","0.573662396382818","0.675584024114544","0.342313489073097","0.669555388093444","0.625659382064808","0.616804822908817","0.647136397889977","0.59155990957046","0.347776940467219","0.550866616428033","0.419178598342125","",""
"","","m872.m.0","mutant","","","0.559572473807777","-0.217585803388711","m872.m.0","0.60663149962321","0.650904295403165","0.639977392614921","0.683119819140919","0.440467219291635","0.700452147701582","0.615109269027882","0.544461190655614","0.71966842501884","0.721740768651093","0.373587038432555","0.653353428786737","0.50320271288621","0.407498116051243",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","sample.id","Genotype","","","MDS1","MDS2","","m840.c.25","m841.m.25","m842.m.25","m843.c.25","m844.m.25","m846.m.25","m848.c.25","m849.c.25","m850.m.25","m866.c.25","m867.m.25","m868.m.25","m869.c.25","m870.m.25","m871.m.25","m872.m.25"
"","Day 25","m840.c.25","control","","NMDS points","-0.293806647125581","Bray-Curtis Dissimilarity between samples","m840.c.25","","","","","","","","","","","","","","","",""
"","","m841.m.25","mutant","","","0.0140434586768533","-0.0728357260551492","m841.m.25","0.318198944988696","","","","","","","","","","","","","","",""
"","","m842.m.25","mutant","","","-0.10800419317041","0.00461894611395662","m842.m.25","0.346458176337604","0.257724189902035","","","","","","","","","","","","","",""
"","","m843.c.25","control","","","0.100409450414744","-0.242158070636795","m843.c.25","0.359457422758101","0.301055011303693","0.344762622456669","","","","","","","","","","","","",""
"","","m844.m.25","mutant","","","-0.121596286769574","-0.287320050853559","m844.m.25","0.35060286360211","0.362283345892992","0.357573474001507","0.333082140165787","","","","","","","","","","","",""
"","","m846.m.25","mutant","","","0.293917053993091","0.176329922081732","m846.m.25","0.480595327807084","0.342690278824416","0.392614920874152","0.396571213262999","0.451959306706858","","","","","","","","","","",""
"","","m848.c.25","control","","","0.28858702914456","-0.273892495351298","m848.c.25","0.457045968349661","0.343443858327053","0.425207234363225","0.275810097965335","0.4146571213263","0.415599095704597","","","","","","","","","",""
"","","m849.c.25","control","","","-0.282361480289043","-0.045230596913316","m849.c.25","0.271100226073851","0.341183119819141","0.313489073097212","0.364544084400904","0.347023360964582","0.48172569706104","0.447814619442351","","","","","","","","",""
"","","m850.m.25","mutant","","","-0.387569109970269","0.445955680204916","m850.m.25","0.494913338357197","0.501130369253956","0.431047475508666","0.578183873398644","0.491522230595328","0.48775433308214","0.639223813112283","0.392049736247174","","","","","","","",""
"","","m866.c.25","control","","","-0.803550364213216","-0.116376621850018","m866.c.25","0.406556141672947","0.516013564431048","0.544084400904295","0.595139412207988","0.524114544084401","0.645629238884702","0.648831951770912","0.403165033911078","0.535418236623964","","","","","","",""
"","","m867.m.25","mutant","","","0.300506721907028","0.218696889506493","m867.m.25","0.479088168801809","0.349849284099472","0.39939713639789","0.425960813865863","0.490580256217031","0.223059532780708","0.404107008289375","0.482479276563677","0.4939713639789","0.640730972117558","","","","","",""
"","","m868.m.25","mutant","","","0.371634741717302","0.152193047736424","m868.m.25","0.515825169555388","0.37189148455162","0.422381311228335","0.410324039186134","0.477204220045215","0.220987189148455","0.381311228334589","0.513564431047476","0.515448379804069","0.669932177844763","0.272230595327807","","","","",""
"","","m869.c.25","control","","","0.200545111952664","-0.177691765191618","m869.c.25","0.387528259231349","0.290128108515448","0.358515448379804","0.276752072343632","0.351921627731726","0.363413715146948","0.206292388847023","0.392426525998493","0.567445365486059","0.620384325546345","0.383948756593821","0.35380557648832","","","",""
"","","m870.m.25","mutant","","","0.0766248250449025","0.0827102283476839","m870.m.25","0.359080633006782","0.357196684250188","0.34155990957046","0.328183873398644","0.344009042954032","0.317256970610399","0.399020346646571","0.382064807837227","0.496232102486812","0.591936699321778","0.363790504898267","0.343820648078372","0.350979653353429","","",""
