"","","sample.id","Mouse","genotype","time point","Bray-Curtis Distance to Group Centroid"
"Figure 3c","","m840.c.0","m840","control","0","0.315551625336917"
"","","m840.c.15","m840","control","15","0.210035971052242"
"","","m840.c.25","m840","control","25","0.222015119945048"
"","","m840.c.54","m840","control","54","0.215854005219028"
"","","m841.m.0","m841","mutant","0","0.389971990312278"
"","","m841.m.15","m841","mutant","15","0.254612924259847"
"","","m841.m.25","m841","mutant","25","0.226116166798976"
"","","m841.m.40","m841","mutant","40","0.250597228713173"
"","","m841.m.54","m841","mutant","54","0.348346753028795"
"","","m842.m.0","m842","mutant","0","0.367412969143693"
"","","m842.m.15","m842","mutant","15","0.250155851903943"
"","","m842.m.25","m842","mutant","25","0.253017469219631"
"","","m842.m.40","m842","mutant","40","0.216298055161489"
"","","m842.m.54","m842","mutant","54","0.34822066580829"
"","","m843.c.15","m843","control","15","0.192321030647511"
"","","m843.c.25","m843","control","25","0.203401555226978"
"","","m843.c.40","m843","control","40","0.284484203940496"
"","","m843.c.54","m843","control","54","0.273308267799553"
"","","m844.m.0","m844","mutant","0","0.458941291434377"
"","","m844.m.15","m844","mutant","15","0.220217993515533"
"","","m844.m.25","m844","mutant","25","0.313775224535753"
"","","m844.m.40","m844","mutant","40","0.243782286378918"
"","","m844.m.54","m844","mutant","54","0.265826534987948"
"","","m846.m.0","m846","mutant","0","0.306045722301587"
"","","m846.m.15","m846","mutant","15","0.234266415915745"
"","","m846.m.25","m846","mutant","25","0.196192227131255"
"","","m846.m.40","m846","mutant","40","0.219971006105247"
"","","m846.m.54","m846","mutant","54","0.26863785504827"
"","","m848.c.0","m848","control","0","0.199570886046165"
"","","m848.c.15","m848","control","15","0.217963017976561"
"","","m848.c.25","m848","control","25","0.26729375708863"
"","","m848.c.40","m848","control","40","0.165546193146317"
"","","m848.c.54","m848","control","54","0.11619275335802"
"","","m849.c.0","m849","control","0","0.187544675222021"
"","","m849.c.15","m849","control","15","0.180605621932285"
"","","m849.c.25","m849","control","25","0.221361976738468"
"","","m849.c.40","m849","control","40","0.256712095539088"
"","","m849.c.54","m849","control","54","0.175089377619772"
"","","m850.m.0","m850","mutant","0","0.417337145820478"
"","","m850.m.15","m850","mutant","15","0.368556320959486"
"","","m850.m.25","m850","mutant","25","0.40687385975721"
"","","m850.m.40","m850","mutant","40","0.369840667654305"
"","","m850.m.54","m850","mutant","54","0.304343506238955"
"","","m866.c.0","m866","control","0","0.558029925238789"
"","","m866.c.15","m866","control","15","0.519390845462883"
"","","m866.c.25","m866","control","25","0.45205378635571"
"","","m866.c.40","m866","control","40","0.199379405955723"
"","","m866.c.54","m866","control","54","0.218140269368401"
"","","m867.m.0","m867","mutant","0","0.435079588657667"
"","","m867.m.15","m867","mutant","15","0.209580490237148"
"","","m867.m.25","m867","mutant","25","0.222764988457904"
"","","m867.m.40","m867","mutant","40","0.191181829312911"
"","","m867.m.54","m867","mutant","54","0.328641772478817"
"","","m868.m.0","m868","mutant","0","0.338985686944454"
"","","m868.m.15","m868","mutant","15","0.197376096731181"
"","","m868.m.25","m868","mutant","25","0.242669189891798"
"","","m868.m.40","m868","mutant","40","0.262752655057076"
"","","m868.m.54","m868","mutant","54","0.272198182289755"
"","","m869.c.0","m869","control","0","0.417095428792911"
"","","m869.c.15","m869","control","15","0.284739095713161"
"","","m869.c.25","m869","control","25","0.218956280812894"
"","","m869.c.40","m869","control","40","0.304942252103532"
"","","m869.c.54","m869","control","54","0.175108830055145"
"","","m870.m.0","m870","mutant","0","0.345570858435108"
"","","m870.m.15","m870","mutant","15","0.292343541294865"
"","","m870.m.25","m870","mutant","25","0.212339628956842"
"","","m870.m.40","m870","mutant","40","0.258829080359189"
"","","m870.m.54","m870","mutant","54","0.179151797345211"
"","","m871.m.0","m871","mutant","0","0.315211056268756"
"","","m871.m.15","m871","mutant","15","0.330661797167953"
"","","m871.m.25","m871","mutant","25","0.284088231951457"
"","","m871.m.54","m871","mutant","54","0.24213518074079"
"","","m872.m.0","m872","mutant","0","0.370204063159617"
"","","m872.m.15","m872","mutant","15","0.374449970896321"
"","","m872.m.25","m872","mutant","25","0.309926819351846"
"","","m872.m.40","m872","mutant","40","0.293183245783972"
"","","m872.m.54","m872","mutant","54","0.176097224354673"
