"","","sample.id","genotype","","","2-Aminoisobutyric acid","4-Hydroxyphenylacetate","5-Aminopentanoate","Acetate","Adenine","Alanine","Alpha-ketoisovaleric acid","Arabinose","Asparagine","Aspartate","Beta-N-Acetylglucosamine","Butyrate","Chenodeoxycholic acid","Cholate","Choline","Cytidine monophosphate","D-Glucose","Dimethylamine","Ferulate","Formate","Fucose","Fumarate","Galactose","Glucose 1-phosphate","Glutamate","Glutamine","Glycine","Glycocholate","Guanosine monophosphate","Hexanoylcarnitine","Histamine","Histidine","Hypoxanthine","Inosine","Isobutyrate","Isoleucine","Isovalerate","L-Arginine","Lactate","Leucine","Lysine","Malonate","Mannose","Methionine","Methylamine","Nicotinate","Oxypurinol","Phenylacetic acid","Phenylalanine","Proline","Propionate","Ribose","Succinate","Taurine","Threonine","Thymine","Trimethylamine","Tryptophan","Tyrosine","UMP","Uracil","Urocanate","Valerate","Valine","Xanthine","Xylose","p-Cresol","?-Alanine"
"figure 3d","","X1670","Control","","Metabolite concentrations","1.1062984","1.0960682","0.602572099","-0.374282538","-0.50886189","-0.41974743","0.3341284","1.08842131","0.5967239","0.222456","-0.15831393","-1.4477153","1.9002992","0.89126392","-0.599206099","0.22711329","-1.26204975","0.2855993","0.614047689","0.601172533","1.62021009","0.37670397","0.95695435","0.36654167","-0.39384635","-0.163931136","-0.23271601","1.75301971","-0.732093099","0.650329642","1.43437299","-0.1890589","1.589791","-0.74884758","1.3369630756","-0.20314702","1.06908429","-0.35172053","0.8878037","-0.5813721","-0.27520417","1.4450668","0.13639351","-0.51368406","0.11211054","-0.33867813","0.19841674","0.9483999","-0.1788981","-0.11050041","-0.3341456","-0.1377221","-0.23431424","0.54283221","-0.323256235","0.57955378","1.99606314","-0.7872813","-0.60637619","-0.47225479","-0.21432481","-0.816924694","-0.4690687","-0.16296238","0.011201787","0.27745213","1.1078179","-0.50985767"
"","","X1672a","Control","","","-0.15206522","-0.552495509","-1.481720969","1.321316584","0.76485472","0.18944794","-1.79408666","-2.16161164","-1.430878","-0.2368406","-2.86357056","0.2255588","2.00553626","0.58895841","0.807340887","0.28378554","-0.61975728","0.48323253","-1.3824965","0.177705621","-0.9272454","-0.26749402","-2.1419904","-1.07169947","0.70402196","-1.550570847","0.40015761","2.22469125","-0.988473109","-1.039379317","-2.03284685","0.1253757","-0.3041497","-0.78735449","0.0009564968","0.06845214","1.04124309","-1.04065499","0.4105177","-0.6585409","-0.31836594","0.4586267","-0.93327959","-0.79511836","-0.38838935","0.46622231","0.43379541","0.4595652","-0.3534799","0.4169805","0.73297708","-0.2388436","-0.86522577","-0.73739135","0.340909738","0.73585327","0.60547414","-1.1505131","-0.52148559","0.5636534","0.95338299","0.567886303","1.0237102","0.09287356","0.764692635","-1.08903527","0.946473","-0.09667228"
"","","X1667","Control","","","-0.11366697","0.140178113","0.515470292","1.969355738","-0.26361096","-1.14392734","-1.56875964","-2.09615132","0.1917658","-2.1314885","-1.08833276","-0.1239566","0.18445348","0.75642976","-0.756705948","-1.30802656","-1.21739438","0.35821976","-0.787130885","1.949456397","0.65028443","-1.26328397","-2.77624716","-1.53726709","-0.64801567","-1.885398246","-0.60017801","-0.02368784","-1.220851004","-0.003465299","0.07384967","-1.2709731","0.2380853","-0.91394107","1.1004135703","-1.99231623","-0.84159661","-2.29394393","0.3506756","-2.1753809","-2.18806292","-0.2507703","-0.95483129","-1.5931111","-0.35287119","-0.27644445","0.6951001","-1.6863922","-2.7181731","-1.33805988","0.39020717","-1.537872","0.88691996","-0.21314943","-1.369082091","-0.55147421","-0.2896756","-1.5005128","-2.38767647","0.49505135","-0.23515519","-1.565359294","0.4678957","-1.9130861","-0.001822541","-0.57865914","-0.9348159","-0.87839743"
"","","X1668","Control","","","-0.11363541","0.485894222","-0.235336681","-1.304795728","0.6645652","-0.50481126","-0.44911009","0.39529056","-0.4659441","-0.5987981","1.25657061","-0.5023223","1.5983907","0.9938269","1.441666173","-1.14120667","2.14300295","0.72402137","-0.538358048","0.278119231","0.49602221","0.40934452","0.6636816","-1.31259342","-0.36093317","-0.278525845","-0.71182336","1.54016733","0.781295206","-0.772414939","0.27739596","-1.2321559","-0.9337373","0.73085797","0.3571127833","-0.48666538","0.25554274","0.31628529","-2.0703876","-1.0272732","-0.71246464","0.8778014","0.90943748","-1.22616884","-1.53504934","0.59084021","-0.5554621","0.298846","-0.7658161","-0.09360997","0.22846375","0.4748225","0.06949455","0.83491693","-0.22369962","-0.18883204","0.63773743","-1.0559391","-1.01972456","1.00553988","0.77122326","0.812376934","-0.8472118","-0.78313797","0.635960934","-0.12051061","0.4025042","-0.20461545"
"","","X1669a","Control","","","1.04448682","0.668821378","0.25639421","0.677898385","-2.88015248","-2.27791041","-0.11071908","0.57089094","0.1964188","-1.8132443","-0.16778413","-0.3094455","-0.77716448","0.30564409","0.007958601","-0.10417071","-0.280437","1.17449502","0.419794688","1.99783732","0.501679","-0.02747305","0.13231914","2.35399025","-3.34939852","0.219064272","-1.66931871","-0.63447236","1.072037844","1.511400852","0.98054255","-0.5284396","1.0992315","0.1612844","1.2788546283","-1.95909723","-0.91282703","-0.27547297","1.2152113","-1.3610889","-2.42514521","-0.8142956","-2.74890203","-0.79016353","-0.30103529","-1.61735938","-1.71778609","0.204858","-0.9883316","-0.46295018","1.21209944","-1.4846125","2.41495697","0.40819549","-1.984293699","-2.04819964","-1.02025875","-0.5739958","-1.09582234","-1.4571552","-2.13218722","-2.000644854","-0.8231231","-2.20280156","-2.341495756","0.44702336","0.8066023","-0.75318977"
"","","X1654a","Control","","","-0.69411694","0.192067321","-0.270176714","-0.484301814","-0.46841506","0.46217104","-0.61020599","0.37600465","-0.1374878","0.8093163","0.69298485","0.5232885","-0.61425264","0.41134855","-0.05167507","0.65296546","-1.00456247","0.20113793","-0.099006964","-0.539480609","0.15354016","-0.52920772","0.54491938","-1.12484334","0.15012538","0.5783978","0.42112234","0.28066282","-0.033466036","0.514240494","-1.18174684","0.9332408","-0.9379377","-1.03058328","0.2170033589","0.94844503","0.25274012","1.10670827","0.4307455","0.92524","1.103737","0.1658873","-0.16687203","0.85856143","-0.11147205","-0.2070302","1.24171245","-1.0889215","1.0191028","0.16917176","-0.30572309","-0.2877913","0.21890187","1.21745923","0.518318896","-0.71831826","-0.21781313","1.5184013","0.65200722","0.84654335","-0.39481872","0.557763801","0.7856743","0.93600241","-0.714590582","-0.09578303","0.3198739","0.10707024"
"","","X1656","Control","","","0.48080091","0.019307946","1.747863263","-1.338669651","0.6453484","0.04701169","0.5524961","0.04552288","-0.4391872","-1.3045698","1.39304369","0.8402329","0.2779271","0.58769931","-0.413969211","0.10582565","0.25008471","-0.24502295","-0.948072631","-0.698072688","0.79111696","0.88406593","0.81179065","-1.03817633","0.49195228","-0.64102641","-0.09132423","1.02186806","-1.187450168","-1.35750609","-0.13456523","-0.3574714","0.166083","-1.64980872","-0.2286391486","-0.29141989","0.03496308","0.38575447","-0.8616707","-0.940894","-0.32658484","-0.2890554","-1.01647489","0.0718884","0.35260603","0.78453049","0.16695239","0.3807169","-0.4597332","-0.87389777","0.24060032","0.5892431","-1.60203241","-0.22855047","0.080748648","0.59537509","-0.74005932","-0.5491918","0.03790382","-0.4019401","1.01303872","-0.253707994","1.686674","-0.36511048","1.035907852","-0.76299295","-0.1901557","0.2087626"
"","","X1776","Control","","","0.76520214","0.250058447","0.054333421","-0.659052414","0.36861506","0.30847743","0.05028105","0.61497122","1.3340499","0.7060864","1.21168734","-0.2265175","-0.85950286","-0.56743396","-0.792258154","-1.00021267","-0.46742338","0.13366723","-0.657983086","-0.281126276","1.02453286","1.14713957","0.73481415","-1.30162506","0.67340988","-0.101970424","0.11425056","0.09406924","1.199363804","-1.156291447","-0.51016104","-1.3260962","-0.4585203","-1.41886312","1.5207299094","0.41140583","0.17257119","0.28565582","-0.7199116","0.6176652","0.09543308","0.5404841","-0.12457939","0.28302831","1.14583601","0.54793113","0.75547437","0.1432882","0.4140512","-1.67028803","-0.49477173","0.4965666","-1.24064844","-0.4513522","0.694358966","1.05788276","1.13501899","0.6391316","0.34709382","-1.04361201","0.89159273","0.879939734","0.2033401","0.3407522","0.520374235","0.3169648","0.3283364","-0.7182063"
"","","X1777","Control","","","-0.55173787","1.729402814","1.6872481","-0.538645737","-0.79296912","-0.45292875","-0.05645988","0.55402994","-0.6799461","1.0800088","0.98442329","-0.9317711","0.92384176","0.83054233","0.729804841","0.53062999","-1.54017552","0.93827829","0.398110562","-0.12410213","1.5981102","0.49183031","0.53125783","0.50986378","-0.28810877","0.278328316","0.4431589","0.45440437","0.045285943","0.006672426","0.41412364","-0.3582659","-0.9767776","-0.63135534","0.9978731185","0.11422461","-0.11064159","0.22061774","-0.6225039","0.1129497","0.72241143","0.8851107","-0.68681372","0.19277767","0.61994391","-0.86017788","0.25094232","0.7944844","0.5532949","1.44032344","0.21450325","-1.2515072","0.03770291","1.44450705","-0.007523678","-0.07666595","0.47307365","1.2946868","0.24996385","-0.41351268","-1.12309683","-0.496420802","-1.0100487","0.08003119","-1.040736723","-0.48982528","1.1585902","0.56606437"
"","","X1663a","Control","","","-1.33305678","-0.203601507","0.017779144","-0.785063759","-0.31218444","0.44570524","-0.8874644","0.37257418","2.474393","0.227623","0.34183479","0.4620855","-0.83804478","-0.3228439","-0.493578638","1.07426967","0.93668333","-2.88682512","0.100948149","-0.8043333","-0.33115046","-1.23250989","0.30230869","1.94270202","0.14206083","0.368473187","0.49885372","-1.11623738","1.852418662","0.54023991","0.13643227","1.0104865","-0.8342355","-0.40277917","-0.5492729348","1.04124035","-1.32323396","1.59188699","1.3796277","1.2007276","0.49987664","-1.3601924","0.01787372","1.11820134","-1.37970875","0.02945082","-0.14187591","-1.3655173","1.2428085","-0.2908001","0.08395889","0.2593303","0.80138356","0.24393864","0.093675941","-1.18756974","-2.11791933","1.5305016","1.08439749","0.97993821","-0.69954282","0.110269106","0.1427095","0.83939747","-1.122924926","0.47279203","-1.0282758","-0.5980632"
