"""""","""""","sample.id","mouse","treatment","DPW","Phenotype.score"
"","","X75.M.S.3","75+","Separate","56","4"
"","","X77.M.S.3","77+","Separate","56","3"
"","","X80.M.S.3","80+","Separate","56","5"
"","","X81.M.S.3","81+","Separate","56","6"
"","","X61.M.S.3","61+","Separate","60","3"
"","","X71.M.S.3","71+","Separate","60","7"
"","","X65.M.S.3","65+","Separate","63","8"
"","","X49.M.S.3","49+","Separate","65","5"
"","","X228.M.C.3","228+","Cohoused","67","5"
"","","X229.M.C.3","229+","Cohoused","67","2"
"","","X47.M.S.3","47+","Separate","67","3"
"","","X52.M.S.3","52+","Separate","68","1"
"","","X41.M.S.3","41+","Separate","70","4"
"","","X43.M.S.3","43+","Separate","70","2"
"","","X44.M.S.3","44+","Separate","70","5"
"","","X54.M.S.3","54+","Separate","70","4"
"","","X55.M.S.3","55+","Separate","70","4"
"","","X56.M.S.3","56+","Separate","70","3"
"","","X58.M.S.3","58+","Separate","70","5"
"","","X4571.M.S.3","4571+","Separate","71","5"
"","","X4573.M.S.3","4573+","Separate","71","6"
"","","X4576.M.S.3","4576+","Separate","71","5"
"","","X255.M.C.3","255+","Cohoused","80","5"
"","","X256.M.C.3","256+","Cohoused","80","0"
"","","X198.M.C.3","198+","Cohoused","84","1"
"","","X269.M.S.3","269+","Separate","84","1"
"","","X270.M.S.3","270+","Separate","84","0"
"","","X271.M.S.3","271+","Separate","84","2"
"","","X272.M.S.3","272+","Separate","84","2"
"","","X186.M.C.3","186+","Cohoused","86","3"
"","","X187.M.C.3","187+","Cohoused","86","2"
"","","X191.M.C.3","191+","Cohoused","88","1"
"","","X192.M.C.3","192+","Cohoused","88","1"
"","","X37.M.S.3","37+","Separate","90","5"
"","","X4514.M.S.4","4514+","Separate","90","6"
"","","X4515.M.S.4","4515+","Separate","90","5"
"","","X4517.M.S.4","4517+","Separate","90","5"
"","","X4540.M.S.4","4540+","Separate","92","2"
"","","X67.M.S.4","67+","Separate","93","4"
"","","X27.M.S.4","27+","Separate","113","5"
"","","X28.M.S.4","28+","Separate","113","5"
"","","X866.M.S.5","866+","Separate","131","7"
"","","X867.M.S.5","867+","Separate","131","9"
"","","X22.M.S.5","22+","Separate","136","6"
"","","X4571.M.S.5","4571+","Separate","139","5"
"","","X4573.M.S.5","4573+","Separate","139","6"
"","","X4576.M.S.5","4576+","Separate","139","7"
"","","X1650.M.S.6","1650+","Separate","153","5"
"","","X1671.M.S.6","1671+","Separate","153","7"
"","","X1673.M.S.6","1673+","Separate","153","3"
"","","X1674.M.S.6","1674+","Separate","153","4"
"","","X228.M.C.6","228+","Cohoused","156","5"
"","","X229.M.C.6","229+","Cohoused","156","3"
"","","X4514.M.S.6","4514+","Separate","158","7"
"","","X4515.M.S.6","4515+","Separate","158","8"
"","","X4517.M.S.6","4517+","Separate","158","5"
"","","X117.M.S.6","117+","Separate","159","7"
"","","X4540.M.S.6","4540+","Separate","160","6"
"","","X198.M.C.6","198+","Cohoused","161","3"
"","","X252.M.C.6","252+","Cohoused","162","1"
"","","X1664.M.S.6","1664+","Separate","163","6"
"","","X1666.M.S.6","1666+","Separate","163","7"
"","","X1682.M.S.6","1682+","Separate","163","3"
"","","X1684.M.S.6","1684+","Separate","163","6"
"","","X186.M.C.6","186+","Cohoused","163","4"
"","","X187.M.C.6","187+","Cohoused","163","5"
"","","X120.M.S.6","120+","Separate","164","8"
"","","X191.M.C.6","191+","Cohoused","165","3"
"","","X192.M.C.6","192+","Cohoused","165","1"
"","","X61.M.S.6","61+","Separate","165","6"
"","","X65.M.S.6","65+","Separate","165","8"
"","","X71.M.S.6","71+","Separate","165","7"
"","","X255.M.C.6","255+","Cohoused","170","5"
"","","X256.M.C.6","256+","Cohoused","170","4"
"","","X259.M.C.6","259+","Cohoused","170","4"
"","","X44.M.S.6","44+","Separate","172","7"
"","","X47.M.S.6","47+","Separate","172","7"
"","","X269.M.S.6","269+","Separate","174","2"
"","","X270.M.S.6","270+","Separate","174","0"
"","","X272.M.S.6","272+","Separate","174","5"
"","","X1778.M.S.6","1778+","Separate","176","5"
"","","X1779.M.S.6","1779+","Separate","176","3"
"","","X236.M.C.6","236+","Cohoused","178","5"
"","","X242.M.C.6","242+","Cohoused","178","5"
"","","X1655.M.S.5","1655+","Separate","184","4"
"","","X1657.M.S.5","1657+","Separate","184","4"
"","","X67.M.S.7","67+","Separate","192","7"
"","","X12.M.S.7","12+","Separate","195","5"
"","","X66.M.S.7","66+","Separate","199","8"
"","","X925.M.S.7","925+","Separate","203","7"
"","","X926.M.S.7","926+","Separate","203","8"
"","","X10.M.S.8","10+","Separate","232","10"
"","","X44.M.S.8","44+","Separate","234","10"
"","","X47.M.S.8","47+","Separate","234","8"
"","","X959.M.S.8","959+","Separate","238","6"
"","","X960.M.S.8","960+","Separate","238","7"
"","","X977.M.S.8","977+","Separate","244","7"
"","","X980.M.S.8","980+","Separate","244","5"
"","","X228.M.C.9","228+","Cohoused","247","8"
"","","X229.M.C.9","229+","Cohoused","247","5"
"","","X255.M.C.9","255+","Cohoused","248","7"
"","","X186.M.C.9","186+","Cohoused","254","5"
"","","X252.M.C.9","252+","Cohoused","254","4"
"","","X198.M.C.9","198+","Cohoused","255","4"
"","","X256.M.C.9","256+","Cohoused","262","6"
"","","X259.M.C.9","259+","Cohoused","262","7"
"","","X187.M.C.9","187+","Cohoused","266","6"
"","","X269.M.S.9","269+","Separate","266","8"
"","","X270.M.S.9","270+","Separate","266","7"
"","","X272.M.S.9","272+","Separate","266","9"
"","","X191.M.C.9","191+","Cohoused","268","3"
"","","X192.M.C.9","192+","Cohoused","268","2"
"","","X224.M.S.9","224+","Separate","270","9"
"","","X236.M.C.9","236+","Cohoused","270","6"
"","","X242.M.C.9","242+","Cohoused","270","8"
"","","X215.M.S.10","215+","Separate","271","5"
"","","X805.M.S.10","805+","Separate","271","9"
"","","X202.M.S.10","202+","Separate","278","9"
"","","X211.M.S.9","211+","Separate","278","10"
"","","X1789.M.S.10","1789+","Separate","283","9"
"","","X4519.M.S.10","4519+","Separate","285","9"
"","","X4531.M.S.10","4531+","Separate","287","7"
"","","X965.M.S.10","965+","Separate","289","7"
"","","X12.M.S.10","12+","Separate","295","9"
"","","X169.M.S.10","169+","Separate","302","7"
"","","X173.M.S.10","173+","Separate","302","6"
"","","X170.M.S.10","170+","Separate","309","7"
"","","X146.M.S.11","146+","Separate","315","5"
"","","X159.M.S.10","159+","Separate","317","7"
"","","X4543.M.S.11","4543+","Separate","329","6"
"","","X4545.M.S.11","4545+","Separate","329","7"
"","","X157.M.S.11","157+","Separate","340","10"
