"","","sample.id","treatment","DPW","Gut Transit Time (hours)"
"figure 4d","","21.C.S.5","Separate","464","3.33"
"","","159.M.S.10","Separate","340","5.75"
"","","157.M.S.11","Separate","340","6.27"
"","","173.M.S.10","Separate","332","5.82"
"","","170.M.S.10","Separate","332","3.27"
"","","169.M.S.10","Separate","332","4.2"
"","","192.M.C.9","Cohoused","314","3.07"
"","","191.M.C.9","Cohoused","314","3.68"
"","","190.C.C.9","Cohoused","314","4.02"
"","","189.C.C.9","Cohoused","312","3.72"
"","","188.C.C.9","Cohoused","312","2.65"
"","","187.M.C.9","Cohoused","312","5.28"
"","","186.M.C.9","Cohoused","312","4.33"
"","","195.C.C.9","Cohoused","310","3.77"
"","","194.C.C.9","Cohoused","310","3.4"
"","","193.C.C.9","Cohoused","310","2.27"
"","","242.M.C.9","Cohoused","305","3.63"
"","","241.C.C.9","Cohoused","305","2.55"
"","","236.M.C.9","Cohoused","305","2.98"
"","","272.M.S.9","Separate","301","3.88"
"","","270.M.S.9","Separate","301","3.68"
"","","269.M.S.9","Separate","301","4.17"
"","","218.C.S.10","Separate","301","3.27"
"","","208.C.S.10","Separate","301","4.43"
"","","257.C.C.9","Cohoused","297","3.32"
"","","256.M.C.9","Cohoused","297","2.75"
"","","255.M.C.9","Cohoused","297","2.67"
"","","254.C.C.6","Cohoused","289","3"
"","","253.C.C.6","Cohoused","289","2.97"
"","","252.M.C.9","Cohoused","289","2.58"
"","","47.M.S.8","Separate","221","5.56"
"","","44.M.S.8","Separate","221","5.45"
"","","64.C.S.8","Separate","219","4.1"
"","","63.C.S.8","Separate","219","3.06"
"","","62.C.S.8","Separate","219","4.45"
"","","71.M.S.8","Separate","214","4"
"","","65.M.S.8","Separate","214","3.75"
"","","73.C.S.8","Separate","211","3.71"
"","","72.C.S.8","Separate","211","3.63"
"","","66.M.S.7","Separate","192","3.55"
"","","111.C.S.6","Separate","168","2.85"
"","","109.C.S.6","Separate","168","2.9"
"","","107.C.S.6","Separate","168","3.02"
"","","120.M.S.6","Separate","164","4.98"
"","","117.M.S.6","Separate","159","4.65"
